spot,Temp,pH,DO,BOD,COD,SS,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,Chla,TOC,Tcoli,Fcoli,Cl,d15N,d18O
우치,10.3,7.1,11.1,6.0,7.5,21.0,421,2.628,2.543,1.707,0.330,0.147,0.078,0.075,48.1,6.2,41000,4600,78.8 ,6.8,2.4
광산,11.4,6.9,6.3,10.7,14.0,28.2,412,9.069,8.582,1.160,7.048,0.403,0.249,0.232,40.0,11.9,210000,96000,66.0 ,1.1,-1.3
영산포2,10.8,7.4,9.9,6.2,9.1,16.7,425,9.263,9.093,2.651,6.106,0.118,0.113,0.074,21.2,8.4,,,59.1 ,9.3,3.1
함평,10.2,7.5,10.4,6.1,9.0,15.8,431,8.412,8.243,2.979,5.094,0.136,0.091,0.064,23.1,8.0,,,61.4 ,8.6,2.7
무안2,6.9,7.8,11.2,2.6,7.9,6.0,6045,3.527,3.511,2.467,0.630,0.042,0.023,0.005,9.3,5.0,78,1,1333.5 ,11.3,3.5
고막원천4,8.6,7.3,10.8,7.4,14.1,82.5,244,5.931,5.506,3.569,0.777,0.400,0.266,0.256,30.7,11.7,,,58.7 ,5.0,0.9
요천3,11.6,7.1,11.5,2.0,5.8,8.3,295,3.363,3.347,2.556,0.090,0.049,0.030,0.014,12.2,4.7,3500,140,44.1 ,7.7,0.2
오수천2,10.3,7.2,11.6,2.3,6.3,5.4,251,3.171,,,,0.081,,,,5.3,,,28.4 ,8.2,2.3
죽산,10.1,7.4,10.7,12.5,10.4,21.0,430,9.313,9.157,2.592,6.067,0.120,0.071,0.048,37.1,8.7,20000,1600,60.0 ,8.6,1.6
황룡강5,10.6,7.9,11.5,10.6,9.0,39.9,322,1.976,1.820,1.137,0.218,0.086,0.022,0.005,36.4,8.3,28000,2500,47.0 ,6.5,4.1
지석천4,11.2,8.0,12.2,10.1,12.5,28.4,251,3.346,3.094,2.390,0.098,0.186,0.115,0.111,95.8,9.2,27000,3700,25.7 ,9.1,2.5
나주,11.7,7.4,10.5,9.5,12.7,16.1,368,6.788,6.294,1.994,4.013,0.224,0.127,0.115,50.4,10.1,35000,3400,52.4 ,7.7,2.4
함평천3,11.7,7.7,10.7,6.5,13.7,39.5,442,7.776,7.734,5.636,1.216,0.304,0.196,0.189,26.5,10.4,,,71.2 ,4.6,-0.2
영암천2,10.9,7.7,12.3,6.9,9.2,27.7,1484,4.897,4.651,3.301,0.608,0.227,0.134,0.123,58.7,8.0,,,387.2 ,12.0,3.7
삼포천2,11.6,7.7,10.6,5.8,14.0,42.4,640,8.358,8.329,5.037,2.419,0.403,0.292,0.285,28.4,11.3,,,117.7 ,8.0,1.3
