"구분","오염원","d15N","d18O"
"농업계","PCF-10",15.3,12.3
"농업계","PCF-11",8.7,12.7
"농업계","PCF-12",12.5,13.8
"농업계","PCF-13",21.6,12.4
"농업계","PCF-15",15.4,1.8
"농업계","PCF-16",6.8,24.8
"농업계","PCF-17",1.8,21.1
"농업계","PCF-18",15.5,17.3
"농업계","PCF-19",15.8,15
"농업계","PCF-20",4.7,22.6
"농업계","PCF-21",6,18.6
"농업계","PCF-22",-1,20.3
"농업계","PCF-23",12.2,10.2
"농업계","비료-1",2,18
"농업계","비료-2",4.3,19.5
"농업계","비료-3",-0.3,13.9
"농업계","비료-4",4.5,15.5
"농업계","비료-5",10.1,14.7
"농업계","비료-6",2.3,11.4
"농업계","비료-7",4,13.4
"농업계","비료-8",-2.5,13.7
"농업계","비료-9",4.1,10.3
"농업계","비료-10",-2.6,11.2
"농업계","화학비료",-9.94,13.43
"농업계","화학비료",-2.84,20.3
"농업계","화학비료",6.82,15.2
"농업계","어분골드",6.76,16.34
"농업계","뿌리조은 황플러스",0.34,24.66
"농업계","복합비료(논에 주로 사용)",0.63,10.72
"농업계","복합비료(밭에 주로 사용)",1.1,18.05
