 Date,Chla,WT,y_t+1,Chla_t-12,WT_t-12,Chla_t-11,WT_t-11,Chla_t-10,WT_t-10,Chla_t-9,WT_t-9,Chla_t-8,WT_t-8,Chla_t-7,WT_t-7,Chla_t-6,WT_t-6,Chla_t-5,WT_t-5,Chla_t-4,WT_t-4,Chla_t-3,WT_t-3,Chla_t-2,WT_t-2,Chla_t-1,WT_t-1,Chla_t-0,WT_t-0
2012.01.04,55.4,3,62,,,,,,,,,,,,,,,,,,,,,,,,,55.4,3
2012.01.10,62,3.7,135.1,,,,,,,,,,,,,,,,,,,,,,,55.4,3,62,3.7
2012.01.19,135.1,5.9,113.2,,,,,,,,,,,,,,,,,,,,,55.4,3,62,3.7,135.1,5.9
2012.01.26,113.2,3.1,79,,,,,,,,,,,,,,,,,,,55.4,3,62,3.7,135.1,5.9,113.2,3.1
2012.01.30,79,4,75.1,,,,,,,,,,,,,,,,,55.4,3,62,3.7,135.1,5.9,113.2,3.1,79,4
2012.02.07,75.1,2.8,60.6,,,,,,,,,,,,,,,55.4,3,62,3.7,135.1,5.9,113.2,3.1,79,4,75.1,2.8
2012.02.13,60.6,3.7,82.8,,,,,,,,,,,,,55.4,3,62,3.7,135.1,5.9,113.2,3.1,79,4,75.1,2.8,60.6,3.7
2012.02.23,82.8,4.7,38.4,,,,,,,,,,,55.4,3,62,3.7,135.1,5.9,113.2,3.1,79,4,75.1,2.8,60.6,3.7,82.8,4.7
2012.02.29,38.4,5.4,70.1,,,,,,,,,55.4,3,62,3.7,135.1,5.9,113.2,3.1,79,4,75.1,2.8,60.6,3.7,82.8,4.7,38.4,5.4
2012.03.06,70.1,8.4,129.2,,,,,,,55.4,3,62,3.7,135.1,5.9,113.2,3.1,79,4,75.1,2.8,60.6,3.7,82.8,4.7,38.4,5.4,70.1,8.4
2012.03.13,129.2,9.4,105.3,,,,,55.4,3,62,3.7,135.1,5.9,113.2,3.1,79,4,75.1,2.8,60.6,3.7,82.8,4.7,38.4,5.4,70.1,8.4,129.2,9.4
2012.03.19,105.3,8.8,82.5,,,55.4,3,62,3.7,135.1,5.9,113.2,3.1,79,4,75.1,2.8,60.6,3.7,82.8,4.7,38.4,5.4,70.1,8.4,129.2,9.4,105.3,8.8
2012.03.26,82.5,8.8,59.1,55.4,3,62,3.7,135.1,5.9,113.2,3.1,79,4,75.1,2.8,60.6,3.7,82.8,4.7,38.4,5.4,70.1,8.4,129.2,9.4,105.3,8.8,82.5,8.8
2012.04.04,59.1,11.2,117.8,62,3.7,135.1,5.9,113.2,3.1,79,4,75.1,2.8,60.6,3.7,82.8,4.7,38.4,5.4,70.1,8.4,129.2,9.4,105.3,8.8,82.5,8.8,59.1,11.2
2012.04.12,117.8,13.5,21.1,135.1,5.9,113.2,3.1,79,4,75.1,2.8,60.6,3.7,82.8,4.7,38.4,5.4,70.1,8.4,129.2,9.4,105.3,8.8,82.5,8.8,59.1,11.2,117.8,13.5
2012.04.16,21.1,14.7,19,113.2,3.1,79,4,75.1,2.8,60.6,3.7,82.8,4.7,38.4,5.4,70.1,8.4,129.2,9.4,105.3,8.8,82.5,8.8,59.1,11.2,117.8,13.5,21.1,14.7
2012.04.26,19,16.3,21.3,79,4,75.1,2.8,60.6,3.7,82.8,4.7,38.4,5.4,70.1,8.4,129.2,9.4,105.3,8.8,82.5,8.8,59.1,11.2,117.8,13.5,21.1,14.7,19,16.3
2012.05.02,21.3,19,95.2,75.1,2.8,60.6,3.7,82.8,4.7,38.4,5.4,70.1,8.4,129.2,9.4,105.3,8.8,82.5,8.8,59.1,11.2,117.8,13.5,21.1,14.7,19,16.3,21.3,19
2012.05.10,95.2,21.3,25.9,60.6,3.7,82.8,4.7,38.4,5.4,70.1,8.4,129.2,9.4,105.3,8.8,82.5,8.8,59.1,11.2,117.8,13.5,21.1,14.7,19,16.3,21.3,19,95.2,21.3
2012.05.18,25.9,20.7,22,82.8,4.7,38.4,5.4,70.1,8.4,129.2,9.4,105.3,8.8,82.5,8.8,59.1,11.2,117.8,13.5,21.1,14.7,19,16.3,21.3,19,95.2,21.3,25.9,20.7
2012.05.22,22,22.2,79.5,38.4,5.4,70.1,8.4,129.2,9.4,105.3,8.8,82.5,8.8,59.1,11.2,117.8,13.5,21.1,14.7,19,16.3,21.3,19,95.2,21.3,25.9,20.7,22,22.2
2012.05.31,79.5,22.8,68.5,70.1,8.4,129.2,9.4,105.3,8.8,82.5,8.8,59.1,11.2,117.8,13.5,21.1,14.7,19,16.3,21.3,19,95.2,21.3,25.9,20.7,22,22.2,79.5,22.8
2012.06.07,68.5,23.7,146.9,129.2,9.4,105.3,8.8,82.5,8.8,59.1,11.2,117.8,13.5,21.1,14.7,19,16.3,21.3,19,95.2,21.3,25.9,20.7,22,22.2,79.5,22.8,68.5,23.7
2012.06.11,146.9,27.8,84.9,105.3,8.8,82.5,8.8,59.1,11.2,117.8,13.5,21.1,14.7,19,16.3,21.3,19,95.2,21.3,25.9,20.7,22,22.2,79.5,22.8,68.5,23.7,146.9,27.8
2012.06.21,84.9,26.2,85.9,82.5,8.8,59.1,11.2,117.8,13.5,21.1,14.7,19,16.3,21.3,19,95.2,21.3,25.9,20.7,22,22.2,79.5,22.8,68.5,23.7,146.9,27.8,84.9,26.2
2012.06.26,85.9,26,27.6,59.1,11.2,117.8,13.5,21.1,14.7,19,16.3,21.3,19,95.2,21.3,25.9,20.7,22,22.2,79.5,22.8,68.5,23.7,146.9,27.8,84.9,26.2,85.9,26
2012.07.05,27.6,25.3,42.3,117.8,13.5,21.1,14.7,19,16.3,21.3,19,95.2,21.3,25.9,20.7,22,22.2,79.5,22.8,68.5,23.7,146.9,27.8,84.9,26.2,85.9,26,27.6,25.3
2012.07.10,42.3,26.2,6,21.1,14.7,19,16.3,21.3,19,95.2,21.3,25.9,20.7,22,22.2,79.5,22.8,68.5,23.7,146.9,27.8,84.9,26.2,85.9,26,27.6,25.3,42.3,26.2
2012.07.20,6,24.3,36.3,19,16.3,21.3,19,95.2,21.3,25.9,20.7,22,22.2,79.5,22.8,68.5,23.7,146.9,27.8,84.9,26.2,85.9,26,27.6,25.3,42.3,26.2,6,24.3
