BIX,FI,site,round
0.66,1.3,JS-07,round08
0.69,1.3,JS-08,round08
0.71,1.23,JS-09,round08
0.67,1.2,JS-10,round08
0.67,1.31,JS-11,round08
0.75,1.34,JS-12,round08
0.72,1.34,JS-13,round08
0.69,1.31,JS-14,round08
0.7,1.31,JS-15,round08
0.7,1.31,JS-16,round08
0.72,1.31,JS-17,round08
0.71,1.24,JS-18,round08
0.71,1.25,JS-19,round08
0.76,1.33,JS-20,round08
0.7,1.33,JS-21,round08
0.75,1.37,JS-22,round08
0.72,1.29,JS-23,round08
0.75,1.29,JS-24,round08
0.72,1.31,JS-25,round08
0.72,1.31,JS-26,round08
0.7,1.29,JS-27,round08
0.77,1.36,JS-28,round08
0.69,1.29,JS-29,round08
0.75,1.34,JS-30,round08
0.71,1.29,JS-31,round08
0.75,1.31,JS-32,round08
0.8,1.35,JS-33,round08
0.7,1.31,JS-34,round08
0,0,JS-35,round08
0.7,1.3,JS-36,round08
0.71,1.27,JS-01,round09
0.71,1.28,JS-02,round09
0.7,1.32,JS-03,round09
0.66,1.28,JS-04,round09
0.69,1.23,JS-05,round09
0.64,1.3,JS-06,round09
0.7,1.32,JS-07,round09
0.73,1.31,JS-08,round09
0.71,1.33,JS-09,round09
0.69,1.31,JS-10,round09
0.73,1.31,JS-11,round09
0.76,1.3,JS-12,round09
0.74,1.32,JS-13,round09
0.69,1.37,JS-14,round09
0.73,1.35,JS-15,round09
0.74,1.33,JS-16,round09
0.79,1.3,JS-17,round09
0.72,1.34,JS-18,round09
0.76,1.27,JS-19,round09
0.77,1.34,JS-20,round09
0.79,1.34,JS-21,round09
1.15,1.44,JS-22,round09
0.79,1.38,JS-23,round09
0.79,1.37,JS-24,round09
0.78,1.35,JS-25,round09
0.73,1.28,JS-26,round09
0.81,1.33,JS-27,round09
0.77,1.36,JS-28,round09
0.79,1.34,JS-29,round09
0.79,1.38,JS-30,round09
0.76,1.34,JS-31,round09
0.79,1.36,JS-32,round09
0.86,1.37,JS-33,round09
0.77,1.3,JS-34,round09
0.76,1.33,JS-35,round09
0.78,1.31,JS-36,round09
0.69,1.3,JS-01,round10
0.7,1.29,JS-02,round10
0.71,1.34,JS-03,round10
0.67,1.27,JS-04,round10
0.73,1.32,JS-05,round10
0.69,1.35,JS-06,round10
0.69,1.29,JS-07,round10
0.73,1.36,JS-08,round10
0.74,1.33,JS-09,round10
0.77,1.38,JS-10,round10
0.74,1.37,JS-11,round10
0.74,1.35,JS-12,round10
0.73,1.35,JS-13,round10
0.72,1.36,JS-14,round10
0.73,1.3,JS-15,round10
0.7,1.35,JS-16,round10
0.73,1.31,JS-17,round10
0.74,1.32,JS-18,round10
0.71,1.31,JS-19,round10
0.77,1.31,JS-20,round10
0.77,1.35,JS-21,round10
0.91,1.4,JS-22,round10
0.8,1.34,JS-23,round10
0.78,1.36,JS-24,round10
0.79,1.3,JS-25,round10
0.76,1.37,JS-26,round10
0.81,1.31,JS-27,round10
0.75,1.37,JS-28,round10
0.8,1.32,JS-29,round10
0.76,1.42,JS-30,round10
0.78,1.36,JS-31,round10
0.76,1.32,JS-32,round10
0.84,1.38,JS-33,round10
0.76,1.32,JS-34,round10
0.78,1.36,JS-35,round10
0.78,1.34,JS-36,round10
0.72,1.27,JS-01,round11
0.77,1.38,JS-02,round11
0.75,1.37,JS-03,round11
0.66,1.31,JS-04,round11
0.76,1.33,JS-05,round11
0.7,1.34,JS-06,round11
0.74,1.39,JS-07,round11
0.75,1.38,JS-08,round11
0.74,1.33,JS-09,round11
0.73,1.4,JS-10,round11
0.76,1.32,JS-11,round11
0.75,1.37,JS-12,round11
0.75,1.31,JS-13,round11
0.75,1.37,JS-14,round11
0.73,1.31,JS-15,round11
0.72,1.32,JS-16,round11
0.73,1.33,JS-17,round11
0.69,1.29,JS-18,round11
0.73,1.31,JS-19,round11
0.74,1.31,JS-20,round11
0.8,1.33,JS-21,round11
0.98,1.43,JS-22,round11
0.75,1.34,JS-23,round11
0.75,1.36,JS-24,round11
0.76,1.27,JS-25,round11
0.74,1.34,JS-26,round11
0.77,1.32,JS-27,round11
0.77,1.34,JS-28,round11
0.74,1.31,JS-29,round11
0.75,1.36,JS-30,round11
0.73,1.31,JS-31,round11
0.75,1.32,JS-32,round11
0.86,1.37,JS-33,round11
0.74,1.3,JS-34,round11
0.74,1.36,JS-35,round11
0.75,1.33,JS-36,round11
0.67,1.26,JS-01,round12
0.71,1.26,JS-02,round12
0.67,1.2,JS-03,round12
0.65,1.24,JS-04,round12
0.68,1.24,JS-05,round12
0.67,1.25,JS-06,round12
0.69,1.31,JS-07,round12
0.71,1.34,JS-08,round12
0.7,1.3,JS-09,round12
0.71,1.29,JS-10,round12
0.7,1.34,JS-11,round12
0.8,1.36,JS-12,round12
0.73,1.25,JS-13,round12
0.7,1.33,JS-14,round12
0.72,1.33,JS-15,round12
0.68,1.31,JS-16,round12
0.73,1.32,JS-17,round12
0.67,1.26,JS-18,round12
0.7,1.28,JS-19,round12
0.73,1.35,JS-20,round12
0.73,1.32,JS-21,round12
0.78,1.35,JS-22,round12
0.71,1.31,JS-23,round12
0.71,1.29,JS-24,round12
0.71,1.3,JS-25,round12
0.71,1.27,JS-26,round12
0.73,1.29,JS-27,round12
0.77,1.35,JS-28,round12
0.71,1.34,JS-29,round12
0.76,1.36,JS-30,round12
0.73,1.3,JS-31,round12
0.73,1.34,JS-32,round12
0.78,1.34,JS-33,round12
0.72,1.26,JS-34,round12
0.7,1.34,JS-35,round12
0.72,1.29,JS-36,round12
