d15N,d18O
8.39,-1.28
13.52,-2.37
14.02,-3.68
14.22,-1.24
8.13,2.91
9.49,2.95
7.61,-0.36
-0.57,-1.45
3.82,-1.38
9.73,5.00
10.98,4.84
11.17,3.23
9.98,3.95
10.94,4.06
11.33,4.95
8.52,3.52
10.67,2.06
12.47,1.56
13.59,3.96
10.21,3.10
10.00,2.96
10.44,1.64
12.09,1.59
9.70,-0.33
