spot,flow,temp,pH,DO,BOD,COD,SS,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,Chla,TOC,Tcoli,Fcoli,Cl,d15N,d18O,source
죽산,0.000916482,22.7,6.9,6.6,4.3,8.1,10.2,283,3.867,3.682,0.924,2.47,0.19,0.089,0.066,37.9,7.6,65000,32,30.9,6.8,3.2,내생부하(정체수역 유기물 축적)
황룡강5,6.705,24.1,7.7,9.3,4.4,8.5,20.4,220,1.475,1.194,0.687,0.13,0.138,0.028,0.008,59.7,7.5,46000,440,22.1,5.6,0.5,조류증식(현장발생)
지석천4,5.352,23.4,7.4,8.2,4,8.4,25,223,2.025,1.833,1.109,0.081,0.219,0.115,0.101,35.4,7.4,36000,720,16.4,8.2,2.7,생활하수/처리수 영향
나주,0.000250493,23.9,7.2,7.9,8.2,11.3,17.3,315,3.916,3.66,0.723,2.54,0.236,0.057,0.03,102.4,8.8,210000,330,25.8,5.4,0.2,내생부하(정체수역 유기물 축적)
JS-1,0.000264758,11.2,7.3,11.8,1.2,1.9,0.280468258,101,1.144,1.121,0.96,0.019,0.022,0.009,0.004,0.899856911,1.3,0.770105863,0,9.589666667,3.87,1.59,토양-질소 기원
JS-2,0.027885798,12.2,7.1,11.9,1.3,2.3,0.030822626,72,0.997,0.962,0.824333333,0.018,0.025,0.011,0.005,0.47485275,1.5,6.373216727,0,5.084666667,4.2,3.13,토양-질소 기원
JS-3,0.000410466,11.9,7.2,12.2,1.2,2.2,0.024522411,85,1.054,1.018,0.880333333,0.02,0.022,0.01,0.003,2.871,1.4,77.22,0,6.730333333,4.48,2.11,토양-질소 기원
JS-4,0.02120243,11.6,7.2,11.8,1,2,0.357647691,62,0.882,0.863,0.736,0.019,0.017,0.007,0,0.086255963,1.2,0.616891678,0,4.584,2.32,2.49,토양-질소 기원
JS-5,0.022691524,13.3,7,11.4,1.5,2.3,1.507398502,83,1.08,1.032,0.861,0.04,0.024,0.011,0.004,2.609584629,1.5,36.31162985,0,6.534333333,4.56,2.34,토양-질소 기원
JS-6,0.000612039,12.2,7.2,11.9,1.3,1.8,0.984786701,85,1.193,1.163,1.027333333,0.026,0.027,0.014,0.008,0.995435607,1.3,0.015570179,0,6.076333333,5.29,1.96,토양-질소 기원
JS-7,5.46E-05,13.2,7,11.4,1,2.2,2.258495254,83,1.13,1.102,0.941666667,0.033,0.027,0.013,0.006,1.437318598,1.4,77.22,0,6.537333333,5.16,1.99,토양-질소 기원
JS-8,0.136098437,14,9.4,11.9,0.5,1.6,0.693200655,85,2.235,2.125,2.054333333,0.025,0.138,0.115,0.112,0.598369088,1,77.22,0,6.385,12.37,1.23,생활하수/처리수 영향
JS-9,0.016399266,15.4,9,10.5,0.7,2.3,0.256509473,89,1.686,1.643,1.468,0.038,0.077,0.051,0.047,0.068503053,1.7,0.133111842,0,6.741666667,8.4,4.9,생활하수/처리수 영향
JS-10,0.009409571,14.2,10.5,13.4,1.4,2,0.222016442,100,1.195,1.149,0.997333333,0.029,0.051,0.037,0.033,0.679594032,1.5,13.56683333,0,11.29766667,6.75,1.97,토양-질소 기원
JS-11,0.008542782,15.6,8.2,10.6,1.3,2.9,3.663,104,2.233,2.082,1.843666667,0.068,0.167,0.11,0.108,0.194991725,1.7,0.098766541,0,7.500666667,8.77,6.38,생활하수/처리수 영향
JS-12,0.000172263,12.5,7.6,11.1,0.5,1.8,1.88108587,103,1.694,1.64,1.509,0.015,0.019,0.006,0.001,1.404808233,1.3,0.384056582,0,5.906666667,6.9,1.1,토양-질소 기원
JS-13,0.000472064,14.5,8.5,10.7,1.1,2.6,0.346094553,103,1.977,1.924,1.709333333,0.037,0.115,0.083,0.08,0.77220328,1.8,77.22,0,7.277333333,9.17,3.61,생활하수/처리수 영향
JS-14,2.87E-06,13.7,9.1,11.3,1.4,3,0.17989549,125,1.876,1.82,1.574333333,0.04,0.052,0.03,0.024,1.663154586,2.4,0.431152122,0,9.060666667,6.52,2.88,토양-질소 기원
JS-15,0.001365967,14.3,7.2,10.1,1.3,2.9,3.663,104,1.74,1.671,1.445666667,0.024,0.079,0.052,0.048,0.174718769,1.9,19.21069472,0,7.499,8.77,3.77,생활하수/처리수 영향
JS-16,0.437137229,15,7.4,10.8,1.4,5.5,1.033576298,163,2.316,2.231,1.875333333,0.033,0.078,0.028,0.02,0.958094871,3.8,5.991335412,0,11.91633333,8.74,2.49,생활하수/처리수 영향
JS-17,0.001668865,14.5,7.3,9.9,1.1,3.1,3.428669292,107,1.786,1.676,1.477,0.018,0.07,0.047,0.044,2.871,2,66.9864279,0,7.682,8.71,4.45,생활하수/처리수 영향
JS-18,0.84447,14.3,7.3,10.4,0.6,2.7,0.389394465,192,1.279,1.191,1.038333333,0.024,0.019,0.007,0.002,0.089495801,1.8,0.008563476,0,7.108333333,5.41,2.25,토양-질소 기원
JS-19,0.005755041,15.8,7.5,10.3,1.3,3.3,3.663,120,1.694,1.615,1.434666667,0.016,0.069,0.043,0.039,0.355802352,2.2,13.15822626,0,7.887,8.2,3.53,생활하수/처리수 영향
JS-20,0.003235972,16,7.8,10.7,1.4,3,0.187527133,181,1.929,1.866,1.626,0.018,0.036,0.02,0.013,0.491826888,2,0.469383017,0,11.57133333,8.59,3.51,생활하수/처리수 영향
JS-21,0.000152647,16.6,7.9,11.1,1.8,3.8,0.209293542,152,2.075,1.976,1.697333333,0.078,0.071,0.041,0.038,0.390068843,2.6,53.60354205,0,10.875,8.75,4.05,생활하수/처리수 영향
JS-22,0.006134763,15.4,8.9,13,1,2.7,0.43975401,156,2.227,2.165,1.967666667,0.015,0.026,0.014,0.01,1.477272717,1.8,5.516191659,0,14.71966667,7.48,1.74,토양-질소 기원
JS-23,4.91E-06,16,8.2,10.7,2,4.4,0.741764989,182,3.57,3.514,3.103666667,0.116,0.204,0.158,0.155,2.871,2.9,55.40744358,0,12.046,6.54,12.27,토양-질소 기원
JS-24,0.00017485,15.2,8.9,13.8,1.8,4.9,0.486764809,162,2.334,2.242,1.923,0.036,0.097,0.059,0.054,1.780725681,3.5,77.22,0,10.375,7.52,3.73,토양-질소 기원
JS-25,5.04E-05,15.8,8.4,12,1.7,4.1,0.087811692,158,2.278,2.232,1.914666667,0.061,0.089,0.055,0.049,2.871,2.8,15.81158997,0,10.67166667,7.69,4.36,토양-질소 기원
JS-26,7.64E-06,14.1,7.3,11.7,1.1,4.2,3.663,155,1.492,1.427,1.167,0.013,0.04,0.019,0.012,2.871,3,28.48520583,0,10.69366667,8.29,2.86,생활하수/처리수 영향
JS-27,0.002695844,18.2,9.3,12.3,1.8,4.1,3.663,155,2.415,2.341,2.040333333,0.045,0.185,0.15,0.148,2.377211077,2.6,0.351465432,0,10.392,6.91,5.44,토양-질소 기원
JS-28,0.84447,15.3,8.6,14.7,1,3.3,0.071705721,235,4.085,4.026,3.882,0.025,0.048,0.033,0.026,0.604870198,2.3,77.22,0,15.652,8.3,3.67,생활하수/처리수 영향
JS-29,1.31E-06,14.7,7.8,10.9,1.9,4.5,1.738676393,145,2.162,2.141,1.821666667,0.029,0.08,0.044,0.036,0.270484656,3,9.893219475,0,10.05566667,7.02,4.09,토양-질소 기원
JS-30,0.000597312,12.3,7.3,10.4,0.6,2.4,0.239878042,152,2.887,2.881,2.768333333,0.012,0.025,0.014,0.009,0.27471473,1.5,3.668259237,0,10.09466667,9.19,2.41,생활하수/처리수 영향
JS-31,0.000148032,15.3,7.4,10,1.2,3.5,3.498531325,156,2.207,2.164,1.898333333,0.031,0.075,0.049,0.045,0.323114474,2.4,0.29733001,0,10.34766667,7.59,5.01,토양-질소 기원
JS-32,1.42E-05,13.7,7.3,8.2,1.5,4.2,0.026714981,196,2.498,2.445,2.124666667,0.051,0.074,0.047,0.042,2.871,2.9,13.29302703,0,15.446,9.95,3.7,생활하수/처리수 영향
JS-33,3.69E-05,15.6,7.2,9.6,3.3,5.2,1.589020717,271,3.05,2.997,2.149333333,0.447,0.117,0.052,0.047,1.029091688,3.6,0.014337685,0,28.462,10.21,2.8,생활하수/처리수 영향
JS-34,0.011934739,14.5,7.8,9.7,1.5,3.6,0.330975793,154,2.23,2.155,1.889666667,0.035,0.068,0.041,0.035,1.038881038,2.6,0.194599163,0,10.69966667,7.58,4.32,토양-질소 기원
JS-35,3.53E-05,14.2,7.6,7.4,2,6,0.305269961,333,4.36,4.301,3.714333333,0.088,0.146,0.095,0.09,0.024283444,4.9,0.100835791,0,26.26333333,12.01,5.67,생활하수/처리수 영향
JS-36,0.003601329,15.1,8.5,10.8,1.6,4.2,0.510196671,240,2.437,2.364,2.045,0.034,0.094,0.053,0.044,1.157305051,3,0.021869714,0,12.32533333,8.58,4.87,생활하수/처리수 영향
JS-1,0.000927185,16,6.6,10.4,1.3,2.4,0.464018252,105,0.941,0.883,0.711,0.023,0.022,0.015,0.004,2.098984192,1.5,4.62293986,0,9.155,3.78,2.01,토양-질소 기원
JS-2,0.000268428,16.7,6.7,10.1,1.3,2.6,3.137649314,72,0.946,0.915,0.752,0.022,0.023,0.012,0.003,0.278972266,1.6,2.04099985,0,4.715,4.27,2.37,토양-질소 기원
JS-3,0.000139135,16.4,6.2,10.6,1.3,2.5,0.457323553,87,0.99,0.923,0.761,0.028,0.024,0.013,0.003,0.243641001,1.6,4.720424504,0,6.377,4.5,2.29,토양-질소 기원
JS-4,0.000874771,16.4,6.5,10.4,1.1,2.8,2.521812319,63,0.673,0.638,0.497,0.029,0.02,0.012,0,2.871,1.8,5.02467731,0,4.254,2.41,2.35,토양-질소 기원
JS-5,0.032830432,16.9,6.3,9.8,1.3,3.1,0.028808616,83,0.982,0.909,0.722,0.052,0.031,0.019,0.005,2.871,2,77.22,0,6.103,4.56,2.99,토양-질소 기원
JS-6,0.009823531,17,6.5,10.5,1.7,2.9,0.246484233,90,1.052,1.001,0.815,0.03,0.038,0.025,0.012,0.807724061,1.7,0.094717208,0,5.926,5.95,2.46,토양-질소 기원
JS-7,0.002784366,16.9,6.2,9.5,1.3,3.3,1.194104589,85,1.059,0.98,0.782,0.045,0.036,0.022,0.007,1.51137662,2.2,0.907443001,0,6.095,5.22,3.37,토양-질소 기원
JS-8,0.000466155,16.2,6.8,8.8,1.3,2.6,2.063639461,95,2.226,2.126,1.769,0.076,0.201,0.183,0.178,0.206330491,1.6,0.088861651,0,6.859,9.08,4.62,생활하수/처리수 영향
JS-9,7.92E-06,16.9,7.4,9.6,1.7,3.5,3.168225641,95,1.511,1.414,1.148,0.061,0.101,0.076,0.066,2.871,2.1,77.22,0,6.86,9.08,4.05,생활하수/처리수 영향
JS-10,0.102514114,16.9,7.6,11.4,1.4,3,0.522179018,96,0.945,0.872,0.676,0.035,0.094,0.079,0.073,1.366708005,2,6.179438415,0,8.802,7.47,1.41,토양-질소 기원
JS-11,0.017723684,17.9,7.7,9.9,2.1,3.7,0.664124728,109,2.297,2.206,1.713,0.147,0.266,0.236,0.23,0.231620012,2.4,2.157857751,0,7.77,12.43,3.41,생활하수/처리수 영향
JS-12,0.84447,16.9,8.1,9.7,0.9,2,0.217219832,116,1.514,1.511,1.323,0.012,0.016,0.009,0.002,1.37929935,1.2,0.184749302,0,5.648,6.71,1.62,토양-질소 기원
JS-13,0.004363587,17.6,7.9,9.7,1.2,3,0.614102568,119,2.221,2.208,1.794,0.103,0.177,0.153,0.148,2.871,2,1.274590239,0,8.168,10.07,4.31,생활하수/처리수 영향
JS-14,0.002610032,18,7.5,10.1,1.6,4.2,0.527022922,128,1.649,1.631,1.247,0.05,0.063,0.043,0.028,0.676065322,3.1,15.33420542,0,8.932,6.86,2.61,토양-질소 기원
JS-15,0.003563053,17.2,6.7,9,1.2,2.9,0.949593097,126,2.016,1.989,1.618,0.058,0.138,0.112,0.108,0.981294731,2.1,2.357331625,0,8.207,9.47,5.39,생활하수/처리수 영향
JS-16,0.010943319,17.4,7,9.9,1.5,4.6,0.18906206,198,2.346,2.275,1.791,0.096,0.083,0.051,0.039,0.439273733,3.5,77.22,0,13.677,11.14,1.94,생활하수/처리수 영향
JS-17,1.38E-05,17.6,7,8.9,1.2,3.2,0.385349237,131,2.002,2,1.596,0.059,0.129,0.104,0.099,0.104177878,2.3,0.022649154,0,8.671,10.29,4.78,생활하수/처리수 영향
JS-18,0.000604636,15.7,7.1,9,0.7,2.6,1.128995833,180,1.328,1.31,1.124,0.022,0.024,0.015,0.008,0.291912198,1.9,23.86100325,0,6.813,5.64,1.22,토양-질소 기원
JS-19,0.008917371,17.9,7.2,9.4,1.4,3.6,2.046183937,136,1.739,1.695,1.352,0.042,0.095,0.061,0.056,0.39762631,2.2,0.274962105,0,9.034,10.58,3.54,생활하수/처리수 영향
JS-20,0.000415766,17.6,7.4,9.5,1.9,3.9,1.041923536,238,1.822,1.79,1.333,0.109,0.049,0.034,0.021,1.924235959,2.8,12.89275275,0,13.341,8.69,2.75,생활하수/처리수 영향
JS-21,0.000107649,17.9,7.2,9.5,2.4,4,0.103667366,189,2.207,2.137,1.596,0.195,0.1,0.055,0.046,0.690258545,3.1,0.989519211,0,13.156,9.78,3.68,생활하수/처리수 영향
JS-22,0.445508487,17,7.6,10.3,0.9,3.7,0.420466351,232,1.834,1.758,1.272,0.142,0.03,0.02,0.008,0.339266992,2.5,0.372941022,0,23.107,13.1,1.02,생활하수/처리수 영향
JS-23,7.50E-05,17.5,7.6,9.7,2.1,4.1,3.262501946,209,2.811,2.8,2.038,0.267,0.194,0.157,0.155,0.572828716,3,20.01762925,0,13.291,9.05,7.36,생활하수/처리수 영향
JS-24,0.007433247,17.8,7.7,10.4,2.4,5.6,1.459459782,207,3.351,3.326,2.571,0.183,0.268,0.215,0.213,2.871,4,11.40937229,0,11.592,8.14,7.11,생활하수/처리수 영향
JS-25,0.011552372,17.6,7.6,9.7,0.6,4.4,1.634997463,202,2.496,2.485,1.857,0.198,0.13,0.095,0.089,2.871,3,0.038584361,0,12.569,9.05,5.2,생활하수/처리수 영향
JS-26,0.00016718,17.1,7.9,9.2,0.9,4.5,1.232970294,156,1.383,1.318,0.999,0.022,0.057,0.035,0.024,2.871,3,15.17836727,0,9.825,8.6,4.27,생활하수/처리수 영향
JS-27,0.00083477,16.3,7.5,12.4,0.9,7.1,3.663,225,4.922,4.81,4.231,0.057,2.13,2.08,2.051,2.871,4.8,1.929816486,0,10.353,8.96,8.98,생활하수/처리수 영향
JS-28,0.045925189,16.8,8.4,10.4,1,3.9,0.316172452,268,3.502,3.497,3.082,0.036,0.052,0.03,0.019,1.151923139,2.7,27.03429203,0,16.773,10.22,3.58,생활하수/처리수 영향
JS-29,0.000715777,18.1,8.7,11.9,3.7,6.1,1.495255381,164,1.662,1.54,1.163,0.04,0.074,0.024,0.01,2.312070493,4,77.22,0,10.894,10.5,7.16,생활하수/처리수 영향
JS-30,7.10E-05,13.9,5.6,6.4,0.4,2.2,3.534232742,179,2.088,2.084,1.855,0.018,0.031,0.017,0.015,0.477657031,1.5,10.84298496,0,10.669,14.01,3.85,생활하수/처리수 영향
JS-31,0.024019346,17.9,6.5,8.6,1.2,3.7,1.111040598,200,2.216,2.194,1.799,0.029,0.087,0.056,0.052,0.878228945,2.5,0.130591908,0,12.52,10.41,4.92,생활하수/처리수 영향
JS-32,0.001101858,17.4,5.9,6.2,4.1,8.7,1.760304549,234,4.217,4.212,2.723,0.639,0.305,0.221,0.206,0.426011457,7.4,20.64584628,0,17.34,9.1,6.2,생활하수/처리수 영향
JS-33,2.56E-05,17.7,6.4,8.5,2.6,5.4,2.590848945,298,3.259,3.257,2.084,0.481,0.148,0.092,0.084,1.821755887,4,2.746795871,0,32.604,11.43,0.84,생활하수/처리수 영향
JS-34,0.012330402,18.4,6.7,8.9,1,3.8,0.181416188,199,2.184,2.178,1.747,0.026,0.083,0.049,0.038,2.871,2.6,1.743151241,0,12.784,10.5,5.06,생활하수/처리수 영향
JS-35,0.00039491,19.9,6.9,9.4,2.4,8,0.259882872,340,4.735,4.723,3.686,0.152,0.236,0.141,0.127,0.601613765,6.1,0.143541833,0,25.895,12.62,5.42,생활하수/처리수 영향
JS-36,0.000134847,20.1,7.7,10.3,1.6,4.2,0.163342332,210,2.422,2.41,1.969,0.027,0.094,0.055,0.045,1.655598638,3,6.919067207,0,14.714,10.89,4.53,생활하수/처리수 영향
JS-20B,0.004049922,18,7,8.2,13.3,13.9,0.833337481,350,8.271,7.645,4.11,2.179,0.289,0.099,0.068,2.871,11.6,0.146238655,0,43.034,9.77,-1.17,생활하수/처리수 영향
JS-27(N),0.047064627,19.5,7.4,11.1,1.9,4.5,0.972925737,210,2.429,2.413,1.917,0.089,0.112,0.103,0.092,2.871,3.3,29.39516059,0,14.104,9,5.53,생활하수/처리수 영향
JS-1,0.284340901,14.8,7.7,10.1,1.6,3.4,3.663,96,1.215,1.169,1.0335,0.0195,0.045,0.0265,0.017,0.247698768,2.05,77.22,0,8.07,3.3,2.48,토양-질소 기원
JS-2,0.326539664,16.1,7.3,9.7,1.7,3.6,0.776697531,67,1.272,1.2105,1.054,0.026,0.041,0.0165,0.0065,2.871,2.5,0.069515994,0,4.319,3.52,3.04,토양-질소 기원
JS-3,0.000360548,15.5,6.9,10,1.5,3.3,0.819709324,75,1.277,1.1815,1.0505,0.033,0.044,0.016,0.008,0.296282137,2.4,77.22,0,5.5035,3.61,2.16,토양-질소 기원
JS-4,0.27486362,14.3,7,10.2,1.5,3.1,1.857716192,56,0.902,0.8845,0.7505,0.028,0.035,0.0145,0.008,2.871,2,7.587367783,0,3.9415,1.81,2.22,토양-질소 기원
JS-5,0.026628097,15,6.8,10,1.6,3.9,0.763843878,72,1.238,1.151,1.013,0.0265,0.056,0.017,0.008,0.72297159,2.4,0.197967226,0,5.265,3.85,2.26,토양-질소 기원
JS-6,0.005515125,15.3,6.9,10,1.9,3.7,0.244826968,82,1.538,1.4595,1.2095,0.0785,0.072,0.0355,0.024,0.452767761,2.6,1.11760857,0,5.506,4.38,2.24,토양-질소 기원
JS-7,0.001028702,14.9,6.7,10,1.3,3.3,0.393462245,75,1.295,1.2185,1.0905,0.0265,0.046,0.0205,0.011,2.871,2.2,0.546483479,0,5.4945,3.64,1.17,토양-질소 기원
JS-8,0.058155597,15.2,7.7,10.2,1.1,2.2,3.663,82,1.923,1.8735,1.7475,0.0275,0.0965,0.081,0.079,0.551075061,1.3,77.22,0,6.0545,8.39,1.86,생활하수/처리수 영향
JS-9,0.599364253,15.7,7.4,10.2,1.5,2.9,3.663,81,1.62,1.495,1.3585,0.033,0.069,0.0415,0.036,0.575981189,2.1,3.949910861,0,5.779,5.99,1.63,토양-질소 기원
JS-10,4.65E-05,15.9,7.3,10.1,1.7,3.8,2.020336723,84,1.322,1.258,1.054,0.042,0.1325,0.1145,0.1075,2.871,2.4,63.32400403,0,7.6265,6.11,1.21,토양-질소 기원
JS-11,0.00066612,16.1,7.3,10,1.9,3.3,1.710313068,87,1.8785,1.723,1.5515,0.0505,0.1365,0.1035,0.1015,0.41039577,2.3,2.930919959,0,6.1515,8.26,1.58,생활하수/처리수 영향
JS-12,0.03830389,16.8,7.3,9.6,1.2,2.8,0.539262335,94,2.0415,1.975,1.8055,0.019,0.0365,0.011,0.005,0.241621716,1.8,9.026053855,0,5.444,6.84,2.23,토양-질소 기원
JS-13,1.00E-06,16.3,7.4,10,0.8,3,0.897091541,88,1.7505,1.673,1.5135,0.0375,0.071,0.0435,0.038,2.871,2.15,64.03829356,0,5.9805,6.5,1.95,토양-질소 기원
JS-14,0.005574145,17,7.4,10,0.9,4.4,0.334725456,114,2.333,2.1585,1.9815,0.0365,0.0795,0.056,0.047,1.748578641,3,1.951612063,0,7.519,5.18,2.31,토양-질소 기원
JS-15,0.055300489,16.1,7.1,9.9,1,3.2,0.395504654,99,1.878,1.7485,1.58,0.0485,0.074,0.047,0.0425,1.38563557,2.3,75.04209353,0,6.135,6,1.41,토양-질소 기원
JS-16,1.00E-06,16.7,7,9,1.3,6.4,1.189333369,107,2.9265,2.699,2.454,0.037,0.0975,0.062,0.0495,2.301406184,4.55,47.00638665,0,9.322,7.27,1.99,토양-질소 기원
JS-17,0.356896127,16,7.2,9.9,1,3.9,1.532009715,119,1.941,1.831,1.6695,0.0425,0.0765,0.0505,0.0445,0.015773312,2.6,8.665160435,0,6.4095,6.14,1.89,토양-질소 기원
JS-18,0.025725629,18,6.9,9,1,3.3,0.976864799,190,1.225,1.129,0.9885,0.033,0.0325,0.013,0.0035,1.184548033,2.45,0.123236735,0,6.4025,5.11,2.8,토양-질소 기원
JS-19,0.000307498,16.1,7.1,9.8,0.9,3.8,1.544480584,109,1.8375,1.705,1.545,0.0395,0.0715,0.0425,0.038,0.37028912,2.5,19.6098629,0,6.2245,5.9,1.97,토양-질소 기원
JS-20,0.172711192,16.3,7.1,10,1.2,4.1,0.019713091,156,2.3075,2.148,1.894,0.066,0.091,0.0585,0.0515,2.871,2.95,15.65079813,0,9.0535,6.79,2.69,토양-질소 기원
JS-21,7.36E-06,16.5,7.2,9.7,1.5,4.3,0.850642648,131,2.1985,1.9995,1.75,0.1,0.0965,0.053,0.046,2.871,2.95,0.001168633,0,7.925,6.79,2.49,토양-질소 기원
JS-22,0.090648742,15.9,7.2,10.3,1.6,3.7,0.379323248,145,2.4955,2.36,2.2445,0.0135,0.0455,0.0295,0.0245,2.089380152,2.4,9.118567797,0,12.603,5.7,-0.68,토양-질소 기원
JS-23,0.002754552,16.4,7.5,9.8,1.9,4,3.183670301,118,2.092,1.916,1.715,0.0635,0.088,0.0515,0.045,2.871,3,26.47598878,0,7.513,6.38,2.35,토양-질소 기원
JS-24,6.56E-06,17.1,7.3,9.8,2.3,5.4,0.783190372,150,2.3765,2.1875,1.848,0.0995,0.119,0.085,0.0805,2.871,4.15,0.000320795,0,8.8695,6.94,3.07,토양-질소 기원
JS-25,3.38E-05,16.3,7.2,9.7,1.8,4.1,1.724427755,123,2.2115,2.0405,1.774,0.0755,0.1015,0.062,0.0535,0.469273542,3.3,6.307982585,0,7.851,6.37,2.46,토양-질소 기원
JS-26,0.040187319,17,7.3,9.4,2.5,6.4,3.663,148,2.2235,1.9855,1.7365,0.0275,0.0895,0.049,0.0355,1.95077763,4.55,0.191273764,0,9.4835,7.54,2.41,토양-질소 기원
JS-27,0.198517898,18.6,7.9,10.7,1.8,6.4,1.413162839,147,3.867,3.7225,3.3975,0.044,0.312,0.303,0.295,0.102536632,5.25,0.584743593,0,9.4085,6.09,2.36,토양-질소 기원
JS-28,0.552473775,16.5,6.9,10.1,1.4,4.3,0.564310774,207,3.8155,3.649,3.4835,0.0275,0.0925,0.066,0.058,0.861224287,3.3,14.57097892,0,12.5825,6.6,2.39,토양-질소 기원
JS-29,0.002242996,17.1,7,9,1.8,4.1,0.448487846,111,2.14,1.9655,1.728,0.0825,0.0855,0.054,0.046,1.068723072,3.1,0.021106637,0,7.319,5.52,2.68,토양-질소 기원
JS-30,0.005816642,16.1,7.3,9.4,1.9,4.2,0.102229934,133,2.9225,2.705,2.6195,0.02,0.0665,0.044,0.0385,0.638092635,3.05,38.30078282,0,7.9255,7.38,1.66,토양-질소 기원
JS-31,7.64E-05,16.7,6.7,9.3,2,4.3,2.144487702,126,2.24,2.022,1.8505,0.0795,0.091,0.0515,0.0465,1.546238548,3.05,6.505642198,0,7.5585,6.05,2.9,토양-질소 기원
JS-32,0.00697198,15.8,6.5,8.7,2.4,4.9,0.336607736,153,2.6805,2.4795,2.1645,0.114,0.16,0.116,0.1145,0.196867404,3.9,16.8124894,0,10.244,7.74,3.22,토양-질소 기원
JS-33,0.00284493,17.4,6.5,9.4,2.7,6.1,2.011809266,215,2.974,2.633,2.0625,0.2495,0.1675,0.0685,0.059,2.871,4.7,0.090784771,0,19.0315,8.07,2.42,생활하수/처리수 영향
JS-34,0.016218869,17,6.5,9.5,1.7,4.4,1.368428597,126,2.2425,2.036,1.847,0.065,0.0925,0.056,0.047,1.830077117,3.25,77.22,0,7.6335,6.09,2.94,토양-질소 기원
JS-35,0.175369669,19.9,7.9,9.7,2.9,7.5,2.181674836,163,2.262,1.985,1.6175,0.07,0.191,0.1055,0.094,2.871,5.2,77.22,0,10.0415,7.3,3.37,토양-질소 기원
JS-36,0.033612783,17.5,7.1,9.4,1.9,4.6,3.663,131,2.3185,2.0855,1.8785,0.0805,0.1035,0.0575,0.052,0.655163332,3.3,1.367944868,0,8.1045,6.22,2.95,토양-질소 기원
JS-20B,0.000534796,17.6,6.9,8.5,12.1,16.4,3.663,313,9.9175,8.0695,3.928,3.587,0.8,0.2855,0.272,0.5634389,14.36666667,0.53175791,0,33.9405,11.48,0.36,생활하수/처리수 영향
JS-1,0.84447,19,8.1,9.3,1.8,5.3,0.218815249,167,1.321,1.199,0.744,0.089,0.072,0.039,0.022,0.844478826,3.7,3.991754103,0,14.886,7.07,-0.39,토양-질소 기원
JS-2,0.84447,19.5,7.7,8.3,1.8,4.6,1.213381324,92,1.074,0.947,0.646,0.064,0.071,0.023,0.01,0.013310163,3.3,11.29377606,0,5.449,6.27,2.06,토양-질소 기원
JS-3,0.008272498,19.8,7,9.4,2.3,6.4,0.29099078,114,1.394,1.18,0.715,0.088,0.122,0.042,0.025,0.882521193,4.2,77.22,0,7.913,7.17,1.43,토양-질소 기원
JS-4,0.146442625,18.8,7.1,9.3,2.2,5,0.016979167,109,2.811,2.741,0.716,1.015,0.07,0.037,0.027,1.430760202,3.5,77.22,0,7.22,-1.51,-4.58,토양-질소 기원
JS-5,0.001179717,19.9,6.8,7.9,2.6,6.2,3.663,122,1.637,1.494,0.775,0.246,0.127,0.052,0.04,0.028116463,4.3,77.22,0,8.826,5.73,1.85,토양-질소 기원
JS-6,0.000575802,19.8,7.1,9,2.8,6.4,1.004850379,105,1.174,1.009,0.562,0.095,0.086,0.029,0.017,0.541917432,4.3,77.22,0,6.492,5.15,1.12,토양-질소 기원
JS-7,0.003964463,19.7,7.1,8.1,2.2,6.5,0.032770984,126,1.532,1.367,0.73,0.172,0.089,0.038,0.024,0.10582195,4.5,45.00900432,0,8.982,5.49,0.44,토양-질소 기원
JS-8,0.003450595,18.8,7.2,9.1,1.8,5.1,2.200569344,132,2.538,2.461,1.764,0.114,0.225,0.179,0.176,0.134283285,3.7,27.89519034,0,9.257,9.11,7.68,생활하수/처리수 영향
JS-9,0.075226769,20.5,7.5,8.8,2.4,5.8,0.105104534,125,1.64,1.508,0.949,0.127,0.114,0.061,0.051,2.36621493,4.2,33.71114532,0,9.453,8.7,4.07,생활하수/처리수 영향
JS-10,0.001614394,22.3,7.2,11.5,1.7,5.8,0.129592703,197,2.169,2.051,1.521,0.093,0.136,0.089,0.081,2.032729678,4.4,5.459397459,0,17.413,10.93,1.68,생활하수/처리수 영향
JS-11,0.000116818,21.5,7.5,8.4,2.4,7.1,1.582571408,155,2.629,2.474,1.498,0.288,0.217,0.145,0.143,0.360598694,5.2,1.001739995,0,11.307,8.42,4.56,생활하수/처리수 영향
JS-12,0.665385662,21.6,7.6,9,2,4.8,0.606041631,120,1.687,1.495,1.019,0.201,0.084,0.023,0.016,2.871,3.2,0.34109591,0,6.702,5.75,1.47,토양-질소 기원
JS-13,2.50E-05,21.7,8.1,10.2,1.4,5.8,0.340387312,141,2.039,1.932,1.354,0.086,0.128,0.087,0.086,2.549182255,4.1,1.501596234,0,9.469,8.01,4,생활하수/처리수 영향
JS-14,0.009013638,21.9,7.6,8.5,2,7.1,0.915537965,193,1.016,0.918,0.298,0.135,0.141,0.102,0.096,1.114858249,4.9,3.908477377,0,12.946,8.84,2.7,생활하수/처리수 영향
JS-15,0.034825387,21.1,7.2,7.7,1.4,6.1,0.090705343,161,1.871,1.79,1.24,0.068,0.13,0.09,0.088,2.871,4.5,4.163306561,0,10.392,8.58,6.7,생활하수/처리수 영향
