spot,flow,temp,pH,DO,BOD,COD,SS,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,Chla,TOC,Tcoli,Fcoli,Cl,d15N,d18O,source
오수천2,1.877,11.6,7.8,11.2,1.8,4.7,7,257,2.246,0.23067,0.10296,0.002543317,0.034,0.004352181,0,0.026223243,4,4.207260405,0,24.411,10.41,5.66,생활하수/처리수 영향
죽산,0.001127274,10.3,7.5,10.8,5.1,8.5,12.4,321,4.401,4.289,2.258,1.458,0.118,0.075,0.05,25.8,7.4,920,6,45.4,7.72,4.48,내생부하(정체수역 유기물 축적)
황룡강5,83.117,10.7,8.1,11.2,5.4,7.2,13.7,318,1.891,1.821,1.28,0.294,0.062,0.025,0.005,33.5,6.6,22000,62,45.085,5.27,3.53,내생부하(정체수역 유기물 축적)
지석천4,3.022,10.2,9.3,14.4,4.7,8.2,13.2,240,3.361,3.177,2.687,0.119,0.158,0.063,0.054,69.5,6.8,2700,0,23.628,9.09,4.03,생활하수/처리수 영향
나주,0.029550569,11.1,8,12.6,7.4,9,11.7,380,5.966,5.844,1.94,3.447,0.104,0.041,0.014,67.3,8.5,4600,7,54.208,7.49,2.28,내생부하(정체수역 유기물 축적)
삼포천2,0.011678381,10.9,7.8,11.5,6.6,14.4,45.3,1050,7.683,7.601,4.236,2.125,0.193,0.098,0.08,64.8,11.5,0.000219436,0,160.748,8.21,2.65,생활하수/처리수 영향
우치,677.852,13.1,8.5,14.3,5.5,9.3,16.8,355,1.62,1.428,0.959,0.053,0.108,0.017,0.004,86,7.8,4300,14,50.403,12.39,11.85,조류증식(현장발생)
광산,7.563,13.7,7.1,8,8.6,11.4,7.9,432,7.358,7.115,1.3,5.733,0.128,0.056,0.025,46.5,8.7,3600,67,65.077,9.4,5.31,생활하수/처리수 영향
함평,15.015,12,7.6,10.1,5.5,9.7,11.2,341,4.591,4.517,2.323,1.375,0.128,0.06,0.029,34.9,8.1,77.22,0,47.663,8.39,5.6,생활하수/처리수 영향
무안2,48.364,8.6,8,10.4,1.8,9.2,5.4,6754,4.228,4.165,2.651,1.079,0.045,0.02,0.003,10.4,6,580,1,1302.451,10.2,5.64,생활하수/처리수 영향
고막원천4,1.284,12.3,9.2,12.9,9,9.8,44.8,294,2.456,2.145,1.644,0.037,0.138,0.02,0.006,128.5,9.3,16.13825954,0,54.242,11.84,8.6,생활하수/처리수 영향
요천3,2.131,15.5,8.9,12.8,4.1,5.6,10.3,299,3.075,2.992,2.5,0.024,0.047,0.015,0.003,24.4,4.6,1300,0,38.745,8.39,1.62,생활하수/처리수 영향
오수천2,1.878,14,8.4,11.5,3.6,4.9,3.7,255,1.695,0.23067,0.10296,0.003075025,0.036,0.00495,0,0.020218405,4.1,10.62437245,0,26.59,10.92,7.12,생활하수/처리수 영향
죽산,1.00E-06,12,7.4,9.8,5.4,9.5,10.5,380,6.079,5.855,2.106,3.055,0.145,0.065,0.03,34.7,7.8,580,16,53.379,9.24,5.11,생활하수/처리수 영향
황룡강5,81.83,13.2,8.3,10.4,7.2,8,10.1,315,2.251,2.02,1.14,0.429,0.078,0.024,0.005,23.6,6,55000,1100,43.453,6.26,5.48,내생부하(정체수역 유기물 축적)
