date,Chla,DNN,DNN_SMOTE,DNN_ADASYN,DNN_SMOTE_ENN,DNN_SMOTE_Tomek,CNN,CNN_SMOTE,CNN_ADASYN,CNN_SMOTE_ENN,CNN_SMOTE_Tomek,RNN,LSTM
2025.01.02,59.3,45.144203,35.7146,37.18698,39.00731,32.966232,49.62986,33.908474,42.44014,42.233494,45.317772,63.415283,78.33202
2025.01.06,83,64.016655,53.785828,58.399914,64.6705,60.48047,79.32581,33.248093,36.5226,35.561886,41.79477,66.25975,40.317207
2025.01.13,110.5,115.55408,118.41435,130.87758,139.87303,125.62753,112.09373,110.46568,102.837746,105.94102,101.24032,87.39101,68.84811
2025.01.20,90.3,99.09813,104.41073,119.68314,134.29245,123.1508,108.62002,93.399055,89.79954,89.49328,85.05692,93.90846,114.67194
2025.02.03,113,98.33825,106.01374,125.90992,134.3015,119.19278,97.622574,105.71973,105.91952,116.008644,119.53655,98.78197,135.9336
2025.02.11,106.8,130.63077,132.79375,158.34232,173.43962,159.95212,130.72935,127.073296,115.33558,126.28801,125.63189,94.386505,107.422615
2025.02.17,117.3,112.60162,113.02459,136.44034,156.97263,140.7713,106.59507,119.56951,121.85141,142.2126,140.75339,94.04681,49.635445
2025.02.24,139.3,155.92448,150.35579,176.1053,187.17047,176.93164,147.33926,156.33713,153.04623,162.40054,174.45982,106.30434,99.87908
2025.03.05,79.2,75.75881,87.84555,104.81077,109.50715,104.84615,64.99631,71.04492,71.37765,76.53876,81.28562,85.57085,126.21136
2025.03.10,113.3,148.98563,127.47606,143.12206,128.06767,118.60877,124.04987,136.42194,143.2458,136.3283,159.88553,80.69592,155.87343
2025.03.17,103.4,82.906944,77.162476,87.6093,93.85619,85.72287,90.13992,98.678734,101.41068,105.6497,109.93288,79.731,82.725204
2025.03.24,40.7,36.71632,43.60124,50.403214,56.654774,48.9542,53.049183,50.53489,54.350834,61.257763,60.027878,50.6707,58.85
2025.03.31,53.9,54.305542,70.60682,82.978836,76.88919,71.43286,48.307953,58.27487,60.124992,65.10862,67.33056,40.379402,44.050697
2025.04.07,97.6,50.817997,67.848915,79.71233,75.77833,68.806984,54.696033,75.208626,77.238174,83.50483,87.358116,61.865,44.324615
2025.04.14,97.2,68.102234,96.65772,108.71846,96.52816,95.035484,54.286457,78.545334,83.273186,92.106575,93.69799,86.668465,106.05041
2025.04.21,68.3,29.276392,31.444149,37.843952,28.311192,25.40057,25.006302,25.814245,31.018127,36.66256,40.326847,75.518234,75.39172
2025.04.28,77,67.09819,69.611694,80.085106,79.124504,79.883545,80.47829,84.0159,91.82592,87.5068,87.54817,61.31445,73.264366
2025.05.07,33.5,46.953773,53.285408,57.39805,51.021126,47.570503,47.643917,55.559017,66.05406,65.43695,72.31915,39.271805,50.00814
2025.05.12,18.7,36.28668,20.407093,20.219803,22.080229,15.644434,30.929375,19.63932,20.168736,18.738323,19.656775,31.375439,45.48314
2025.05.19,24,50.828697,35.814926,30.382614,30.28667,24.766792,47.299274,34.599438,32.352364,37.8421,30.500288,30.92405,52.24167
2025.05.26,40.9,46.3101,35.34303,34.22104,33.24642,31.568026,40.559875,33.836674,30.025208,38.61601,33.5872,33.646942,39.84857
2025.06.04,42.8,61.902756,67.032585,71.86138,59.90157,66.99645,43.38213,47.646107,53.172226,48.30772,51.00397,34.37953,43.280132
2025.06.09,31.1,60.54868,60.74938,60.393982,54.172764,57.025536,40.74686,44.115112,47.611256,44.25516,50.191975,32.938087,43.27153
2025.06.16,15.6,54.102882,35.774258,37.589317,32.989464,33.111183,58.26003,45.944706,48.295197,43.988735,43.451984,29.870815,32.24395
2025.06.23,6.4,7.5524664,3.5382056,5.876951,3.485698,5.380266,19.051273,19.789795,18.139484,12.568909,13.176866,29.193333,10.746948
2025.06.30,46.1,72.06625,53.619698,53.785988,48.369907,53.152786,83.66582,65.767685,59.93685,64.92487,59.01152,33.56785,30.604782
2025.07.07,27.7,38.31989,23.61301,25.027058,22.943577,18.588646,37.644,30.63972,35.892933,28.694723,34.764084,31.695658,67.732765
2025.07.14,24,44.042835,36.48962,45.856716,37.30269,43.492165,34.49323,37.922894,36.98385,25.421345,36.450798,30.440384,47.241478
2025.07.21,2.9,2.2496417,1.8261075,2.7204201,3.485698,4.916319,15.75648,13.190933,18.97835,11.303094,17.852434,28.994581,49.12877
2025.07.28,44.7,91.22309,63.100224,63.052544,58.929386,63.935577,92.840416,64.4933,60.354755,55.414173,55.494602,32.955704,23.830112
2025.08.05,5,0.47841126,1.5670666,2.7204201,3.485698,4.916319,5.5951533,6.8455544,9.707565,6.259697,8.728831,29.510323,42.79616
