date,Chla,DNN,DNN_SMOTE,DNN_ADASYN,DNN_SMOTE_ENN,DNN_SMOTE_Tomek,CNN,CNN_SMOTE,CNN_ADASYN,CNN_SMOTE_ENN,CNN_SMOTE_Tomek,RNN,LSTM
2025.01.02,59.3,58.748356,71.269005,53.86917,51.933537,60.290886,57.478157,68.7712,60.415325,43.76161,54.99803,63.415283,78.33202
2025.01.06,83,66.6026,82.26325,64.30961,62.936638,71.26646,69.79441,79.5826,72.98158,66.29984,75.75878,66.25975,40.317207
2025.01.13,110.5,86.88052,105.17588,87.56711,87.4431,93.78907,87.30548,102.062355,92.776,86.52347,94.67104,87.39101,68.84811
2025.01.20,90.3,81.68323,97.106125,76.26118,74.62966,81.03173,80.27398,90.77128,82.3799,72.6366,79.12879,93.90846,114.67194
2025.02.03,113,80.20984,93.35061,70.021904,73.412125,74.65867,89.86517,102.86522,93.97122,90.983444,104.63419,98.78197,135.9336
2025.02.11,106.8,92.073425,110.26207,90.13348,90.925354,95.17202,99.05129,111.93784,102.95795,98.941864,112.50498,94.386505,107.422615
2025.02.17,117.3,66.49169,83.74919,59.642853,63.857315,74.669,82.404274,98.93155,70.27031,70.31151,103.73948,94.04681,49.635445
2025.02.24,139.3,108.71243,127.029465,109.48336,111.27908,121.62823,113.22492,129.82593,125.19269,123.46551,137.95177,106.30434,99.87908
2025.03.05,79.2,59.643875,72.3603,55.714035,55.249012,60.656162,71.7911,83.46728,75.87236,67.62299,78.39706,85.57085,126.21136
2025.03.10,113.3,110.30919,127.729294,116.14682,113.51556,126.29844,107.330765,130.82156,147.86263,135.22467,157.7012,80.69592,155.87343
2025.03.17,103.4,85.88081,97.112755,80.70832,78.981476,85.41032,84.49159,90.96438,88.10995,79.9187,88.17382,79.731,82.725204
2025.03.24,40.7,54.808666,59.335316,48.44352,44.53628,53.280193,46.883133,54.714664,49.151554,41.7528,50.089096,50.6707,58.85
2025.03.31,53.9,51.271534,58.57442,49.15248,49.9797,56.601597,35.65697,49.19517,44.65085,44.021038,49.556503,40.379402,44.050697
2025.04.07,97.6,51.97781,59.656017,47.948517,47.59781,56.77296,41.88241,57.12017,49.74723,47.67626,54.628944,61.865,44.324615
2025.04.14,97.2,55.4939,72.8986,69.23834,72.79953,81.16021,59.30037,66.65038,55.914093,58.492203,61.413918,86.668465,106.05041
