spot,temp,pH,DO,BOD,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,TOC,Cl,d15N,d18O,source
JS-20B,23.8,6.7,7.8,10.9,327,11.413,10.447,7.236,3.056,0.6,0.364,0.273,8.9,31.735,23.7,6.6,
JS-9B,25.8,6.5,6.4,1,151,1.37,1.197,0.835,0.023,0.099,0.078,0.015,3.4,27.654,10.95,-2.96,
JS-20B,22.5,6.9,8.7,7,307,7.18,6.675,4.208,1.783,0.338,0.151,0.142,5.8,33.402,12.15,-0.53,
JS-18,16,6.9,9.7,0.5,176,1.226,1.161,0.798,0.016,0.016,0.007,0.001,2.7,4.335,4.11,0.88,
JS-24,15.2,7.4,11.1,0.7,234,4.779,4.724,3.329,0.168,0.33,0.253,0.25,3.4,12.331,6.28,8.36,
JS-25,15.2,7.6,11.9,0.6,212,2.686,2.586,1.835,0.026,0.131,0.1,0.098,2.2,11.701,9.08,5.62,
JS-20B,19,7.2,9.1,4,349,7.761,7.662,5.267,0.28,0.094,0.034,0.016,5.6,48.56,11.75,1.33,
JT-1,16.3,6.9,11.8,1,119,1.123,1.036,0.892,0.014,0.024,0.012,0.002,2.3,6.341,2.92,2.95,
JT-5,16.1,6.6,9.5,2.2,231,2.904,2.834,2.324,0.064,0.051,0.032,0.012,5.7,16.777,9.74,4.7,
JT-6,15.3,6.8,12.3,2.1,100,1.921,1.825,1.142,0.317,0.087,0.063,0.048,4.6,14.102,7.06,3.96,
JT-10,16.8,7,10.8,4.1,169,3.478,3.148,1.888,0.676,0.671,0.563,0.539,5.8,10.632,14,2.4,
JT-12,19.2,6.5,12.1,2.2,185,0.54,0.468,0.296,0.047,0.098,0.06,0.049,3.6,13.93,13.84,6.6,
JT-15,20.5,7.2,12.6,1.4,301,2.656,2.601,2.16,0.048,0.069,0.049,0.038,4,23.274,8.35,3.23,
JT-18,18.3,7.5,9.4,1.1,210,1.249,1.201,0.948,0.031,0.032,0.016,0.008,3,20.753,7.14,3.95,
JT-20,17.1,7.9,9.9,0.9,214,2.015,1.958,1.656,0.023,0.026,0.011,0.005,3.2,20.318,7.64,4.43,
JT-25,19.3,7.6,11.4,1.9,352,2.943,2.879,2.224,0.128,0.084,0.064,0.049,4.2,58.03,11.63,3.6,
JT-29,18.4,7.2,13.5,3.8,236,1.975,1.734,1.323,0.014,0.137,0.068,0.047,5.1,20.53,9.05,11.68,
23B,20.1,6.8,8.1,,485,8.187,7.635,6.188,0.931,0.134,0.114,0.105,4.4,88.139,11.37,1.92,
28B,17.8,7.9,9,,315,4.943,4.747,3.597,0.177,0.417,0.335,0.317,5.6,29.404,14.34,3.59,
JT-1,20.7,7.4,7.8,0.9,100,1.311,1.309,1.126,0.019,0.027,0.01,0.01,2,6.217,4.66,3.45,
JT-5,21.9,7.1,7.2,1.7,175,2.267,2.193,1.795,0.065,0.098,0.06,0.048,4.4,12.32,8.45,4.38,
JT-6,20.7,7.4,6.9,2.1,197,3.213,3.149,1.629,0.408,0.189,0.133,0.131,4.7,14.313,5.32,2.36,
JT-10,21,7.1,6.2,3,138,1.661,1.396,0.873,0.205,0.375,0.21,0.21,5,9.861,10.33,3.3,
JT-12,22.1,7.4,7.4,2.9,155,1.646,1.471,1.048,0.071,0.241,0.146,0.144,4.6,9.939,11.05,3.69,
JT-13,23.2,7.9,12.4,2.8,180,1.571,1.522,1.085,0.028,0.174,0.112,0.109,4.5,11.824,10.13,4.01,
JT-14,21.6,7.9,9.3,4.2,238,3.059,2.383,1.446,0.189,0.644,0.096,0.078,9.8,20.841,6.79,3.99,
JT-15,20.3,7.5,12.3,2.2,307,4.565,4.552,4.122,0.052,0.117,0.084,0.082,3.5,21.355,8.01,3.7,
JT-18,20.2,7.3,11.9,1.3,213,2.603,2.529,2.21,0.041,0.067,0.029,0.021,2.6,16.575,6.8,1.82,
JT-22,17.3,7.3,11.6,1.3,422,1.611,1.46,1.194,0.099,0.074,0.048,0.04,1.8,7.243,4.43,1.47,
JT-23,22.8,6.8,8.8,3,424,2.661,2.591,0.837,1.228,0.132,0.091,0.087,4.3,66.657,13.72,-2.65,
JT-2,21.4,9,8.2,2.8,183,0.606,0.566,0.311,0.055,0.038,0.035,0.022,4.3,11.516,7.7,6.03,
JT-5,21.6,7.3,7.4,2.5,273,1.028,0.953,0.657,0.095,0.07,0.07,0.068,5.2,21.325,10.09,4.6,
JT-6,20.5,7.6,6.7,7.1,252,4.202,3.897,0.668,1.509,0.16,0.122,0.107,11,19.16,7.04,0.95,
JT-7,21.3,7.6,7,6.8,244,2.186,2.181,0.686,0.391,0.197,0.176,0.15,10.6,21.189,7.88,5.28,
JT-10,20.7,7.4,6.5,3.1,126,1.536,1.508,0.777,0.233,0.253,0.247,0.242,4.7,7.867,11.02,3.08,
JT-12,21.9,7.5,7.2,3.1,157,1.365,1.281,0.676,0.074,0.156,0.142,0.126,5.9,10.383,11.12,2.95,
JT-13,23.6,7.8,11.4,3.6,183,1.793,1.711,0.905,0.085,0.15,0.144,0.127,6.8,12.247,10.04,2.88,
JT-14,21.9,7.8,8.8,6.9,233,2.303,2.263,0.997,0.352,0.133,0.096,0.072,10.8,15.164,4.99,2.2,
JT-15,24.3,7.5,10.7,3.2,328,3.546,3.499,2.452,0.239,0.072,0.064,0.051,4.2,23.522,9.01,4.17,
JT-22,16.4,7.3,8.8,1.6,423,3.381,3.369,2.479,0.119,0.155,0.154,0.149,2,8.853,7.2,-0.57,
JT-25,21.8,7.4,11.5,2.5,332,2.64,2.619,1.632,0.091,0.06,0.053,0.037,6.2,37.286,11.64,0.11,
JT-26,23.7,7.6,9.7,3.3,335,5.537,5.33,1.71,1.309,0.152,0.15,0.124,8.8,36.399,5.28,-3.71,
JT-27,24.7,8.4,13.4,3.1,241,1.002,0.921,0.309,0.028,0.083,0.051,0.023,7.5,19.122,7.37,3.73,
JT-29,23.8,7.9,9.5,3.3,289,2.609,2.501,1.529,0.052,0.18,0.18,0.156,6.7,20.83,9.41,5.79,
JT-1,23.4,7.8,9.2,1,120,0.705,0.671,0.463,0.029,0.019,0.013,0.001,3.5,5.601,3.72,5.14,
JT-2,23.4,7.6,9,4.8,282,2.491,2.314,0.546,0.321,0.299,0.219,0.177,15.2,22.974,8.2,2.9,
JT-3,23.9,7.5,8.4,2.4,187,0.774,0.657,0.23,0.037,0.054,0.031,0.005,8.2,16.067,5.52,0.95,
JT-4,22.9,7.5,8.9,2.8,213,1.308,1.179,0.402,0.172,0.089,0.055,0.031,8.5,17.675,7.08,-0.29,
JT-6,22.1,7.5,8.3,2.5,322,2.144,2.073,0.6,0.323,0.133,0.107,0.085,13.4,25.136,7.23,0.9,
JT-7,23.8,7.6,9.1,3.2,242,1.98,1.904,0.672,0.186,0.174,0.109,0.087,10.5,19.7,7.2,1.5,
JT-9,25.1,7.7,10,9,306,1.778,1.527,0.527,0.052,0.206,0.124,0.074,12.6,19.929,7.14,11.32,
JT-10,23,8.1,12.8,18,140,2.79,2.169,1.261,0.116,0.469,0.343,0.34,28,8.304,12.16,2.77,
JT-14,21.8,7.8,8.5,3,224,1.657,1.638,0.779,0.092,0.112,0.075,0.059,9.3,14.362,7.33,0.67,
JT-2,20.5,7.3,7.1,3.5,255,1.92,1.839,0.608,0.266,0.132,0.113,0.086,9.8,20.013,8.24,3.54,
JT-3,21.8,7.1,5.9,1.7,184,1.37,1.339,0.724,0.125,0.042,0.03,0.013,5.7,15.353,9.6,1.56,
JT-5,21.6,7.1,5,4.1,304,3.005,2.889,0.921,0.856,0.093,0.077,0.047,9,27.676,8.36,2.24,
JT-6,20.6,7.1,6.2,3.2,293,2.193,2.159,0.81,0.271,0.114,0.092,0.068,11.4,21.429,6.14,3.04,
JT-10,20.8,7.3,6,3.3,140,2.5,2.452,1.044,0.692,0.486,0.458,0.457,6.7,8.597,12.46,2.74,
JT-12,22,7,6.2,1.7,182,1.763,1.758,0.73,0.227,0.127,0.104,0.091,7.4,12.272,10.71,-0.01,
JT-13,21.3,7.5,6.7,4,211,1.954,1.949,0.846,0.205,0.147,0.118,0.103,10.8,14.521,9.04,2.02,
JT-14,20.7,7.7,9,6.3,196,2.582,2.536,1.242,0.265,0.264,0.214,0.204,12,12.587,5.04,2.23,
JT-15,20.3,7.5,9,3.8,326,2.767,2.761,1.549,0.179,0.183,0.165,0.143,10.8,25.695,9.36,3.16,
JT-18,19.5,7.6,9.6,1.8,156,1.011,1.009,0.578,0.069,0.075,0.066,0.053,6.5,9.971,5.87,4.11,
JT-22,20.3,7.8,8.1,4.3,162,3.013,2.981,1.818,0.377,0.197,0.195,0.187,5.7,5.534,4.92,1.2,
JT-24,21.6,7.3,7.5,3.1,264,1.673,1.663,0.81,0.099,0.122,0.101,0.084,8.8,21.36,7.36,3.3,
JT-25,21.8,7.5,8.8,4.8,274,2.159,2.117,0.947,0.447,0.097,0.08,0.059,7.9,28.828,9.2,2.54,
JT-27,21,8.1,9.1,4.4,144,1.896,1.597,1.055,0.06,0.478,0.16,0.151,7,7.168,8.65,6.09,
JT-29,22.3,7.4,5.3,3.2,284,2.46,2.424,1.306,0.138,0.161,0.145,0.133,7.8,21.863,9.73,7.53,
JT-2,23.6,7.7,6.9,3.2,267,2.537,2.4,0.813,0.34,0.218,0.139,0.118,12.4,18.521,8.69,-0.03,
JT-3,20.3,7.1,5.7,0.3,296,7.012,7.004,5.713,0.068,0.052,0.032,0.024,3.7,25.846,12.03,1.23,
JT-5,23.5,7.6,6.6,1.1,265,2.967,2.962,1.772,0.168,0.08,0.06,0.042,8.1,19.343,11.63,1.73,
JT-6,22.7,7.5,5.8,1.8,286,2.35,2.324,1.132,0.237,0.108,0.072,0.058,8.9,18.594,9.3,0.48,
JT-7,23.9,7.6,6.7,2.7,201,2.064,2.062,0.897,0.213,0.135,0.101,0.085,8.8,13.614,8.85,-0.12,
JT-8,23,7.8,6.8,0.6,277,2.26,2.143,1.599,0.044,0.106,0.083,0.08,3,13.83,10.48,2.53,
JT-10,24.6,7.3,5,1.8,135,1.663,1.658,0.757,0.317,0.334,0.285,0.282,5.5,7.358,11.6,0.25,
JT-11,24.9,7.7,7.1,1.9,201,2.358,2.341,1.002,0.322,0.166,0.112,0.106,7.4,12.045,8.97,-1.52,
JT-12,25.6,7.7,6.8,1,170,1.683,1.657,0.85,0.074,0.16,0.111,0.108,6.1,10.104,11.03,0.3,
JT-13,27.9,7.8,9.1,1.2,199,1.779,1.774,1.034,0.033,0.128,0.094,0.089,6,11.817,10.63,0.98,
JT-14,25,8.3,8.2,1.6,156,2.157,2.154,1.259,0.087,0.075,0.04,0.026,6.1,9.132,5.87,3.41,
JT-15,23.8,7.9,9.9,0.8,319,4.195,4.181,3.108,0.05,0.119,0.084,0.083,4.5,19.833,8.49,1.42,
JT-16,24.2,7.9,9.3,1.2,252,3.047,3.032,2.065,0.057,0.12,0.085,0.081,5.3,16.037,8.49,2.59,
JT-17,25.3,7.6,8.7,1,268,2.843,2.824,1.854,0.049,0.09,0.066,0.056,5.1,15.884,9.51,2.36,
JT-19,21.5,7.6,9.9,0.5,189,4.378,4.301,3.232,0.03,0.051,0.027,0.021,2.9,11.101,9.4,1.16,
JT-20,20.8,7.8,10.3,0.6,197,3.29,3.287,2.367,0.031,0.06,0.033,0.029,3.6,12.612,9.01,2.7,
JT-21,25.6,7.5,7.7,1.4,193,2.123,2.119,1.221,0.059,0.162,0.114,0.111,5.8,12.163,8.83,1.54,
JT-22,19.5,7.4,9.9,0.8,163,2.399,2.333,1.632,0.076,0.088,0.066,0.056,2.3,6.438,5.49,-0.53,
JT-26,26.3,7.6,8.2,3.2,265,2.792,2.651,1.216,0.305,0.14,0.099,0.09,8.4,21.811,9.37,1.68,
JT-27,29.3,10.3,15.9,4.1,210,1.257,1.225,0.485,0.023,0.126,0.071,0.051,8,11.71,10.02,4.44,
JT-28,26.5,7.7,8.5,2.2,260,4.54,4.454,2.706,0.132,0.646,0.562,0.561,6.8,14.316,14,3.42,
JT-29,26,7.8,7.7,1.6,199,2.402,2.269,1.481,0.052,0.164,0.137,0.129,5.9,12.844,8.83,2.42,
JT-30,25.7,7.9,7.2,2.5,198,2.534,2.509,1.274,0.144,0.209,0.163,0.159,7.2,12.569,8.04,1.49,
JT_1,22.9,7.9,8.6,0.7,145,0.968,0.961,0.67,0.029,0.052,0.04,0.033,3.7,7.972,9.93,5,
JT_2,23.8,7.8,8.3,1.6,202,1.488,1.486,0.673,0.187,0.254,0.197,0.194,6.6,11.195,9.41,4.39,
JT_3,23.6,7.5,8.8,1.1,174,2.031,2.026,1.43,0.044,0.049,0.034,0.019,5.8,10.713,10.3,4.17,
JT_4,23.5,7.6,7.6,1.6,226,5.634,5.625,4.632,0.172,0.204,0.152,0.148,7.1,12.4,18.54,9.89,
JT_5,24.1,7.6,7.8,1.2,230,1.72,1.718,1.018,0.066,0.094,0.064,0.052,7.2,15.544,10.76,5.19,
JT_6,23.5,7.7,7.2,1.6,246,2.474,2.443,0.744,0.808,0.212,0.154,0.152,8.9,12.019,9.33,4.15,
JT_7,24.1,7.7,8.3,1,229,1.267,1.264,0.6,0.065,0.076,0.051,0.04,6.8,14.491,10.82,5.62,
JT_8,23,7.8,7.5,1.3,174,1.124,1.099,0.624,0.057,0.068,0.04,0.031,5.5,8.814,8.47,6.23,
JT_10,25,7.5,7.1,1.8,141,2.062,2.038,0.864,0.551,0.472,0.424,0.418,4.9,7.517,12.87,4.98,
JT_11,24.7,7.8,8.5,1.4,191,1.539,1.538,0.886,0.076,0.127,0.096,0.09,6.2,9.924,9.27,2.99,
JT_12,24.8,7.6,7.7,1.3,161,1.36,1.356,0.738,0.117,0.187,0.148,0.146,5.5,8.532,12.1,2.71,
JT_13,24,7.9,8.1,1.3,260,1.496,1.464,0.84,0.091,0.172,0.134,0.132,5.8,9.068,10.65,5.39,
JT_15,23.2,7.1,9.1,0.8,335,5.012,4.992,4.32,0.052,0.15,0.117,0.116,4.3,17.31,8.38,2.78,
JT_16,21.9,7.9,9.1,0.8,328,3.906,3.9,3.181,0.058,0.135,0.1,0.099,4.7,18.459,9.62,3.21,
JT_17,23,8,8,0.8,267,3.006,3.003,2.343,0.053,0.083,0.06,0.055,4.1,13.07,8.58,4.52,
JT_21,24.3,7.3,7.1,1.5,240,2.607,2.488,1.603,0.212,0.221,0.174,0.171,5.3,15.553,10.55,5.09,
JT_22,21.5,7.6,8.5,1.3,101,3.631,3.54,2.616,0.324,0.139,0.108,0.105,3.1,8.557,6.12,2.84,
JT_23,24.9,7.1,7.2,1.4,341,2.778,2.745,1.735,0.31,0.221,0.189,0.188,3.8,43.783,11.28,-0.29,
JT_24,24.2,7.1,7.3,1.7,242,1.439,1.392,0.77,0.095,0.124,0.098,0.09,5.4,16.861,10.1,5.9,
JT_25,24.6,7.4,7.8,2.2,279,1.937,1.872,1.001,0.241,0.139,0.106,0.104,5.7,28.504,9.57,2.78,
JT_26,25,7.8,8.4,3.5,254,2.447,2.354,0.991,0.493,0.143,0.112,0.106,6.8,21.988,8.73,3.55,
JT_27,23.5,7.7,9.5,2.5,270,1.911,1.878,0.973,0.225,0.096,0.048,0.03,5,12.812,10.65,6.92,
JT_29,25.4,8,8.4,1.6,230,2.121,2.044,1.364,0.076,0.166,0.136,0.133,5.3,13.734,9.98,6.69,
JT_30,24.8,8.1,8.9,4.7,172,1.848,1.764,0.911,0.256,0.204,0.164,0.159,7.6,9.568,6.4,10.32,
JT_23B ,25.7,7.1,8.4,,389,4.138,4.131,2.597,0.742,0.291,0.29,0.283,3.7,52.849,11.83,0.92,
JT_1,27.4,7.8,7.8,1.2,110,0.968,0.959,0.782,0.023,0.046,0.023,0.014,2.4,6.977,8.12,2.58,
JT_2,27.8,7.6,7.1,1.8,185,1.286,1.194,0.682,0.147,0.19,0.099,0.099,4.8,10.912,8.51,1.58,
JT_3,26.6,7.4,7.4,1.4,198,4.242,4.063,3.85,0.054,0.07,0.036,0.023,4,12.38,11.4,3.08,
JT_5,27.9,7.5,7.1,1.8,182,2.46,2.321,2,0.057,0.112,0.064,0.052,4.1,15.938,10.97,2.02,
JT_6,27.4,7.6,7.4,2.3,194,1.391,1.305,0.848,0.116,0.13,0.077,0.064,5.3,9.334,10.22,2.62,
JT_7,27.5,7.6,7.3,1.9,151,1.241,1.132,0.878,0.059,0.109,0.046,0.037,3.6,9.509,10.01,4.11,
JT_8,28.2,7.8,7.7,1.9,164,1.711,1.58,1.335,0.049,0.104,0.054,0.044,3.6,9.183,8.14,2.84,
JT_9,30,7.8,9.3,2.3,198,1.658,1.489,1.22,0.063,0.128,0.047,0.037,3.7,11.185,8.5,6.6,
JT_10,26,7.7,7.9,1.5,111,2.002,1.824,1.368,0.244,0.303,0.228,0.228,3.5,7.216,8.77,1.21,
JT_11,27.4,7.5,8.6,1.7,194,1.488,1.326,1.115,0.033,0.124,0.061,0.048,4.5,10.451,10.33,2.45,
JT_12,27.7,7.9,8.6,2.3,135,1.319,1.169,0.934,0.022,0.151,0.082,0.07,4.8,8.115,10.39,2.55,
JT_13,28.3,8,9.4,3.9,173,1.371,1.257,1.007,0.02,0.133,0.067,0.055,4.3,9.677,10.4,4.68,
JT_15,24.1,7.5,10.5,2.9,295,4.548,4.192,4.104,0.056,0.189,0.096,0.087,3.7,14.944,9,1.06,
JT_16,25.4,7.6,10,4.3,254,2.915,2.723,2.55,0.052,0.132,0.071,0.063,4.7,16.212,8.6,3.58,
JT_17,26.6,7.5,8.9,3,249,2.775,2.521,2.457,0.03,0.093,0.043,0.031,3.6,13.281,9.1,3.73,
JT_21,28.5,7.7,8.6,3.2,185,2.356,2.077,1.906,0.027,0.173,0.093,0.081,4.2,11.901,9.9,3.97,
JT_22,24.1,7.8,9.4,1.9,127,1.8,1.594,1.382,0.147,0.148,0.101,0.09,2.5,8.42,5.54,0.58,
JT_23,28.3,7.8,9,3.1,390,2.825,2.575,2.083,0.236,0.075,0.037,0.024,3.7,55.61,16.44,2.05,
JT_24,28.5,7.7,9.1,4.6,230,1.986,1.707,1.484,0.015,0.122,0.057,0.041,5.4,17.491,9.52,4.9,
JT_25,28.6,7.8,10.7,3,290,1.915,1.651,1.401,0.016,0.088,0.031,0.017,4,27.504,10.83,4.2,
JT_26,29.8,8.8,10.1,4.5,251,2.142,1.737,1.397,0.019,0.116,0.036,0.017,5.4,21.869,10.9,3.74,
JT_27,26.7,7.9,7.4,2.9,157,0.745,0.603,0.328,0.061,0.077,0.027,0.017,4.9,7.997,9.62,4.82,
JT_29,28.5,7.8,10.2,2.8,168,2.169,1.969,1.706,0.021,0.12,0.069,0.051,3.4,10.475,9.49,5.62,
JT_30,28.1,7.8,9.9,2.7,156,2.426,2.168,1.678,0.111,0.281,0.214,0.209,3.8,10.001,7.11,8.87,
JT_4B ,27.2,7.6,7.2,,145,1.264,1.13,0.687,0.109,0.089,0.06,0.042,5.1,8.278,8.42,1.95,
JT_1,24.3,8,8,0.9,113,0.779,0.773,0.726,0.02,0.037,0.036,0.025,1.9,7.213,8.46,2.59,
JT_2,24.7,7.1,6.7,0.8,290,2.307,2.295,1.989,0.077,0.049,0.04,0.028,3.1,21.114,11.85,3.67,
JT_3,24.9,7.4,6.4,1,131,1.118,1.109,0.865,0.052,0.05,0.05,0.025,4.9,8.43,10.68,3.05,
JT_5,25.4,7.4,6.3,1,184,1.468,1.461,1.322,0.056,0.087,0.075,0.062,4.4,11.295,10.35,2.35,
JT_6,24.2,7.8,7.2,1.2,143,1.853,1.775,1.408,0.047,0.071,0.063,0.039,4.8,8.094,7.35,0.98,
JT_7,25.3,7.6,7.4,1.1,165,1.488,1.466,1.157,0.036,0.099,0.076,0.067,3.9,9.988,10.28,2.92,
JT_8,25.7,7.9,7.4,1.2,154,2.324,2.224,1.874,0.036,0.08,0.056,0.036,4,7.771,7.79,1.31,
JT_9,26.5,7.7,8.2,1.4,172,1.811,1.722,1.396,0.082,0.173,0.13,0.13,4,9.297,9.23,3.66,
JT_10,25.2,7.8,7.5,1.1,111,0.798,0.798,0.623,0.034,0.078,0.072,0.063,3.1,7.343,10.02,1.97,
JT_11,26.1,7.6,7.5,1.2,170,1.155,1.155,0.88,0.061,0.087,0.087,0.086,3.4,9.129,10.18,1.88,
JT_12,25.5,7.6,6.8,1.4,139,0.957,0.957,0.715,0.058,0.102,0.102,0.099,3.4,8.073,10.24,1.43,
JT_13,26.8,7.9,7.9,1.3,159,1.07,1.07,0.795,0.022,0.095,0.095,0.089,3.3,8.977,10.66,1.73,
JT_15,22.2,7.5,9.2,1.7,286,3.955,3.955,3.38,0.056,0.122,0.122,0.121,3.7,14.941,8.19,1.21,
JT_16,23.4,7.5,8.7,1.6,289,3.656,3.656,3.104,0.052,0.113,0.113,0.11,3.6,17.977,8.94,2.36,
JT_17,24.6,7.4,7.6,1.7,251,3.356,3.356,2.882,0.024,0.073,0.073,0.065,2.6,13.077,8.87,3.03,
JT_21,25.5,7,7.2,2,292,5.816,5.392,4.969,0.088,0.184,0.121,0.117,5,17.142,9.67,2.32,
JT_22,22.3,7.2,8.4,1.4,90,1.024,0.921,0.861,0.046,0.085,0.073,0.049,2,5.748,5.36,1.89,
JT_24,25.7,7.3,7.9,2.3,164,1.909,1.697,1.474,0.017,0.09,0.046,0.032,4.2,10.258,8.14,4.76,
JT_25,26.4,7.3,8.2,2.2,221,2.653,2.398,2.053,0.105,0.11,0.065,0.059,4.2,18.055,9.65,2.69,
JT_26,27.2,7.5,7.9,2.3,226,2.489,2.225,1.877,0.105,0.122,0.072,0.07,4.2,18.212,8.59,1.25,
JT_27,26.2,7.2,7.1,2.8,152,0.765,0.697,0.416,0.035,0.076,0.058,0.044,5.9,10.19,9.69,5.48,
JT_29,26.9,7.6,8.2,1.3,174,2.202,2.201,2.025,0.062,0.143,0.102,0.095,3,10.813,8.32,4.11,
JT_30,26.2,7.8,8,1.7,158,2.16,2.025,1.667,0.131,0.162,0.122,0.11,3.6,10.08,7.4,2.81,
JT_1,21.1,7.8,8.1,1.4,80,1.768,1.698,1.478,0.028,0.085,0.022,0.018,5.6,7.927,2,-0.26,
JT_2,20.8,7.7,8.2,1.9,100,2.984,2.959,2.513,0.055,0.228,0.165,0.162,7.8,5.515,2.48,-1.38,
JT_3,21.3,7.7,8.2,2.1,96,2.723,2.647,2.223,0.052,0.111,0.053,0.043,6.8,5.571,1.62,-1.25,
JT_4,20.7,7.4,7.8,1.2,135,9.146,9.075,8.927,0.117,0.119,0.099,0.097,4.3,6.078,3.04,-0.8,
JT_5,21.4,7.2,7.9,2.4,106,3.63,3.566,3.047,0.099,0.223,0.135,0.127,8.5,5.401,2.28,-0.83,
JT_6,21.3,7.6,8,2.4,92,2.83,2.775,2.227,0.058,0.159,0.088,0.076,8.1,5.173,1.06,-0.45,
JT_7,21.1,7.5,7.9,2.9,101,3.216,3.1,2.514,0.1,0.257,0.156,0.149,8.5,5.418,2.58,-0.4,
JT_8,21.8,7.9,8.1,2.1,102,2.447,2.394,2.003,0.043,0.083,0.045,0.036,5.7,5.451,0.98,-1,
JT_9,21.9,7.9,8.2,2.2,114,2.712,2.633,2.14,0.061,0.197,0.127,0.118,7.5,6.248,2.8,-0.07,
JT_10,21.9,7.7,8,2.1,162,1.435,1.356,0.83,0.065,0.52,0.496,0.49,6.8,11.13,5.2,1.12,
JT_11,21.1,7.8,8.2,2.3,103,3.457,3.264,2.746,0.076,0.297,0.182,0.163,9.6,5.434,3.23,-0.94,
JT_12,20.9,7.7,8.1,2.8,108,3.331,3.155,2.526,0.103,0.407,0.255,0.235,9.7,5.857,4.11,-0.88,
JT_13,23,7.5,7.9,2.6,65,3.143,2.905,2.357,0.09,0.438,0.274,0.254,8.8,6.367,4.94,-0.17,
JT_14,23.4,7.6,7.6,2.4,139,4.595,4.562,4.081,0.072,0.249,0.177,0.162,6.8,7.88,3.4,0.02,
JT_15,23.1,7.4,7.8,1.9,181,3.184,3.102,2.765,0.041,0.162,0.126,0.124,5.7,8.926,1.38,0.67,
JT_16,22.8,7.4,7.8,2,160,4.335,4.201,3.833,0.052,0.222,0.164,0.155,6.4,8.896,2.43,0.04,
JT_17,22.9,7.7,7.6,2.2,131,3.699,3.491,3.051,0.092,0.377,0.247,0.242,7.8,6.419,2.31,0.7,
JT_18,22.7,7.4,7.8,1.8,92,2.243,2.137,1.894,0.021,0.08,0.029,0.016,4.8,5.199,0.68,-0.98,
JT_19,23.3,8.2,7.5,1.8,143,2.283,2.208,1.848,0.036,0.126,0.075,0.066,6.4,4.853,1.41,0.14,
JT_20,23.2,7.5,7.5,1.2,79,2.306,2.212,1.943,0.024,0.071,0.043,0.036,5.6,4.477,-0.79,-0.12,
JT_21,21,7.3,7.3,2.9,122,2.267,2.166,1.643,0.125,0.385,0.303,0.3,7,5.781,7.07,2.43,
JT_22,19.9,7.2,7.3,1.2,100,2.282,2.253,1.965,0.071,0.111,0.087,0.051,3.9,4.545,3.02,-1.77,
JT_23,21.7,7.6,7.4,4,196,2.579,2.433,1.339,0.659,0.213,0.146,0.145,6.3,15.627,6.81,1.8,
JT_24,21,7.6,8.1,3,136,1.876,1.658,1.203,0.054,0.318,0.201,0.193,7.2,8.075,5.96,2.07,
JT_25,21.4,7.7,8.1,3.8,129,1.696,1.511,1.026,0.116,0.294,0.175,0.165,6.8,9.503,6.29,2.63,
JT_26,21.2,7.5,8.1,4.5,127,1.817,1.509,0.99,0.204,0.349,0.164,0.154,6.5,11.191,6.63,4.65,
JT_27,22.9,7.5,7.1,3.8,180,1.154,0.936,0.425,0.152,0.237,0.112,0.082,7.2,9.151,7.31,3.71,
JT_28,21.1,7.5,7.8,3.6,113,1.71,1.483,0.937,0.097,0.471,0.277,0.264,8.4,7.352,6.25,4.12,
JT_29,22.8,7.5,8,2.4,154,2.586,2.385,1.897,0.123,0.271,0.189,0.187,5.2,9.111,7.45,3.62,
JT_30,22.8,7.5,7.8,1.9,99,3.801,3.663,3.378,0.042,0.301,0.268,0.265,5.2,4.866,0.82,7.86,
