N_15,O_18,No
8.39,-1.28,n01
13.52,-2.37,n02
14.02,-3.68,n03
14.22,-1.24,n04
8.13,2.91,n05
9.49,2.95,n06
7.61,-0.36,n07
-0.57,-1.45,n08
3.82,-1.38,n09
9.73,5,n10
10.98,4.84,n11
11.17,3.23,n12
9.98,3.95,n13
10.94,4.06,n14
11.33,4.95,n15
8.52,3.52,n16
10.67,2.06,n17
12.47,1.56,n18
13.59,3.96,n19
10.21,3.1,n20
10,2.96,n21
10.44,1.64,n22
12.09,1.59,n23
9.7,-0.33,n24
