spot,Flow,Temp,pH,DO,BOD,COD,SS,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,Chla,TOC,Tcoli,Fcoli,Cl,d15N,d18O
우치,,11.1,8.9,13.3,4.5,7.3,14.3,348,2.152,1.891,1.511,0.032,0.091,0.02,0.006,79.7,5.9,2800,58,48.177,10.09,7.54
광산,8.522,11.5,7.2,12.3,9,9.4,12.1,443,8.319,8.057,1.51,6.316,0.078,0.04,0.006,82,8.4,4100,10,65.507,5.8,1.24
영산포2,13.805,10.7,7.5,10.2,4.1,8.9,12.5,311,4.043,3.989,2.312,1.117,0.106,0.073,0.053,18.6,7,,,43.831,6.74,3.18
함평,15.45,10.2,7.3,9.1,3.6,8.3,9.4,342,5.704,5.639,2.327,2.834,0.118,0.088,0.067,14.2,6.9,,,47.325,7.24,4.15
무안2,51.578,8,8,11.4,2.1,8.7,6,5600,3.744,3.687,2.592,0.82,0.042,0.021,0.003,11.3,5.3,310,0,1275.992,10.68,4.8
고막원천4,1.102,10.7,9.1,15.7,9.5,11.2,33.3,246,2.693,2.394,2.019,0.031,0.152,0.02,0.007,110.4,9.2,,,30.64,10.47,7.43
요천3,3.077,11.9,7.6,11.9,2,5.3,9.8,294,3.67,3.633,2.954,0.04,0.03,0.012,0.003,14.8,4.1,1300,0,37.112,9.28,0.85
오수천2,1.877,11.6,7.8,11.2,1.8,4.7,7,257,2.246,,,,0.034,,,,4,,,24.411,10.41,5.66
죽산,,10.3,7.5,10.8,5.1,8.5,12.4,321,4.401,4.289,2.258,1.458,0.118,0.075,0.05,25.8,7.4,920,6,45.4,7.72,4.48
황룡강5,83.117,10.7,8.1,11.2,5.4,7.2,13.7,318,1.891,1.821,1.28,0.294,0.062,0.025,0.005,33.5,6.6,22000,62,45.085,5.27,3.53
지석천4,3.022,10.2,9.3,14.4,4.7,8.2,13.2,240,3.361,3.177,2.687,0.119,0.158,0.063,0.054,69.5,6.8,2700,0,23.628,9.09,4.03
나주,,11.1,8,12.6,7.4,9,11.7,380,5.966,5.844,1.94,3.447,0.104,0.041,0.014,67.3,8.5,4600,7,54.208,7.49,2.28
함평천3,0.543,10,8.7,14.8,7.6,16.1,39.3,531,4.521,4.139,3.339,0.098,0.178,0.025,0.013,101.7,10.5,,,90.398,11.36,4.06
영암천2,,11.7,7.7,12.8,3.6,9.1,25.8,1315,5.331,5.215,3.188,1.088,0.094,0.039,0.016,29.7,8.7,,,335.207,9.85,5.29
삼포천2,,10.9,7.8,11.5,6.6,14.4,45.3,1050,7.683,7.601,4.236,2.125,0.193,0.098,0.08,64.8,11.5,,,160.748,8.21,2.65
