d15N,d18O
6.79,2.9
10.94,0.19
10.09,1.5
10.63,2.19
5.58,6.49
6.75,7.6
8.21,5.56
1.58,-0.43
12.48,2.62
8.51,8.32
8.24,6.51
8.62,5.83
9.13,4.09
8.94,4.27
10.39,5.64
7.92,4.59
11.24,5.97
11.5,5.45
12.27,6.11
10.25,7.37
4.84,5.72
7.46,3.75
7.95,4.35
8.21,4.57
