year,month,date,system,central,site,BOD,T_N,T_P,TOC
2021,2,2021.02.02,영산강,영산강하류,함평천3,3.1,6.317,0.163,4.9
2021,2,2021.02.02,영산강,영암천,영암천2,4.1,3.389,0.136,5
2021,2,2021.02.02,영산강,주암댐,주암댐,0.7,0.658,0.007,1.6
2021,2,2021.02.02,영산강,죽산보(영산강중류),영산포2,6.4,7.564,0.176,7.5
2021,2,2021.02.03,영산강,섬진강하류,계산,1.5,2.307,0.022,2.5
2021,2,2021.02.03,영산강,영산강하류,삼포천2,1.7,6.514,0.234,4.9
2021,2,2021.02.03,영산강,죽산보(영산강중류),문평천,1.1,3.797,0.031,2.5
2021,2,2021.02.03,영산강,죽산보(영산강중류),만봉천,1.5,3.134,0.131,3.1
2021,2,2021.02.03,영산강,죽산보(영산강중류),장성천2,1.5,5.281,0.297,3.7
2021,2,2021.02.03,영산강,죽산보(영산강중류),영산천,1.1,7.601,0.213,3.8
2021,2,2021.02.03,영산강,탐진강,탐진강4,3.3,2.347,0.152,5
2021,2,2021.02.03,영산강,탐진강,탐진강5,2.2,1.994,0.098,2.8
2021,2,2021.02.04,영산강,섬진강댐,관촌,0.9,2.131,0.009,1.2
2021,2,2021.02.04,영산강,섬진강댐하류,임실,1.1,1.242,0.008,2.6
2021,2,2021.02.04,영산강,오수천,오수천2,1.5,2.759,0.042,2.4
2021,2,2021.02.04,영산강,요천,요천3,2,4.134,0.041,2.5
2021,2,2021.02.04,영산강,주암댐,동복천2,0.7,1.171,0.018,1.2
2021,2,2021.02.08,영산강,영산강상류,우치,1.8,3.126,0.106,3.7
2021,2,2021.02.08,영산강,영산강상류,광주천2,4.6,6.662,0.128,4.9
2021,2,2021.02.08,영산강,영산강상류,풍영정천2,3,3.101,0.143,4.4
2021,2,2021.02.08,영산강,영산강하구언,무안2,1.7,3.586,0.041,4.2
2021,2,2021.02.08,영산강,요천,요천3,2.3,5.408,0.052,2.9
2021,2,2021.02.08,영산강,죽산보(영산강중류),죽산,5.6,7.127,0.185,5.8
2021,2,2021.02.08,영산강,죽산보(영산강중류),광산,4.5,8.182,0.103,5.3
2021,2,2021.02.08,영산강,죽산보(영산강중류),나주,5.8,6.231,0.156,6
2021,2,2021.02.08,영산강,지석천,지석천4,4,5.635,0.391,4.3
2021,2,2021.02.08,영산강,탐진강,탐진강5,2.6,3.906,0.326,3.8
2021,2,2021.02.08,영산강,황룡강,황룡강5,3.8,2.639,0.1,4.6
2021,2,2021.02.09,영산강,섬진강댐,관촌,0.8,2.173,0.007,1.6
2021,2,2021.02.09,영산강,섬진강댐하류,임실,0.9,1.237,0.007,2.6
2021,2,2021.02.09,영산강,섬진강하류,계산,1.7,2.139,0.019,2.5
2021,2,2021.02.09,영산강,주암댐,동복천2,0.9,1.186,0.015,1.6
2021,2,2021.02.09,영산강,주암댐,주암댐,0.8,0.698,0.008,2
2021,2,2021.02.15,영산강,죽산보(영산강중류),평동천,2.4,7.811,0.277,3.5
2021,2,2021.02.16,영산강,고막원천,고막원천4,7.1,3.396,0.17,7.2
2021,2,2021.02.16,영산강,영산강하류,삼포천2,3.9,5.743,0.209,8.5
2021,2,2021.02.16,영산강,영산강하류,함평,3.9,6.465,0.153,4.9
2021,2,2021.02.16,영산강,영산강하류,함평천3,2.4,4.956,0.113,4.1
2021,2,2021.02.16,영산강,영암천,영암천2,2.7,4.102,0.096,4.8
2021,2,2021.02.16,영산강,죽산보(영산강중류),영산포2,5,6.604,0.116,5.1
2021,2,2021.02.24,영산강,죽산보(영산강중류),문평천,2,3.016,0.03,2.2
2021,2,2021.02.24,영산강,죽산보(영산강중류),만봉천,3.1,2.186,0.105,3.3
2021,2,2021.02.24,영산강,죽산보(영산강중류),장성천2,3.1,4.764,0.3,4.7
2021,2,2021.02.24,영산강,죽산보(영산강중류),영산천,1.5,7.043,0.286,3.4
2021,2,2021.02.24,영산강,탐진강,탐진강4,2.1,2.944,0.221,4
2021,2,2021.02.25,영산강,오수천,오수천2,2.1,1.935,0.03,2.2
2021,2,2021.02.15,영산강,영산강상류,우치,2.8,2.662,0.095,4.1
2021,2,2021.02.15,영산강,영산강상류,광주천2,4.2,5.58,0.145,4.5
2021,2,2021.02.15,영산강,영산강상류,풍영정천2,3.3,2.943,0.153,4
2021,2,2021.02.15,영산강,죽산보(영산강중류),죽산,4.7,5.825,0.102,5.1
2021,2,2021.02.15,영산강,죽산보(영산강중류),광산,5.1,11.109,0.133,6.1
2021,2,2021.02.15,영산강,죽산보(영산강중류),나주,4.9,8.664,0.128,5.7
2021,2,2021.02.15,영산강,지석천,지석천4,4.2,4.978,0.242,4.3
2021,2,2021.02.15,영산강,황룡강,황룡강5,3.9,2.61,0.117,4.4
2021,2,2021.02.16,영산강,영산강하구언,무안2,1.8,4.048,0.044,4.2
2021,2,2021.02.16,영산강,주암댐,주암댐,0.5,0.667,0.007,1.8
2021,2,2021.02.19,영산강,요천,요천3,1.9,5.726,0.04,2.8
2021,2,2021.02.19,영산강,탐진강,탐진강5,2.7,2.327,0.129,3.6
2021,2,2021.02.22,영산강,죽산보(영산강중류),평동천,3.8,7.281,0.397,6
2021,2,2021.02.23,영산강,고막원천,고막원천4,7.8,3.511,0.258,11.5
2021,2,2021.02.23,영산강,영산강하류,삼포천2,3.5,6.695,0.241,5.3
2021,2,2021.02.23,영산강,영산강하류,함평,3.8,6.037,0.102,4.6
2021,2,2021.02.23,영산강,영산강하류,함평천3,2.8,4.794,0.155,4.7
2021,2,2021.02.23,영산강,영암천,영암천2,4.6,3.947,0.112,5.4
2021,2,2021.02.23,영산강,죽산보(영산강중류),영산포2,4.5,6.793,0.09,4.7
2021,2,2021.02.24,영산강,섬진강하류,계산,2,2.089,0.027,2.9
2021,2,2021.02.25,영산강,섬진강댐,관촌,1,1.931,0.006,1.4
2021,2,2021.02.25,영산강,섬진강댐하류,임실,0.5,1.201,0.004,2.4
2021,2,2021.02.25,영산강,주암댐,동복천2,0.8,1.041,0.012,1.2
2021,2,2021.02.22,영산강,영산강상류,우치,2.8,2.984,0.116,4.8
2021,2,2021.02.22,영산강,영산강상류,광주천2,4.9,5.708,0.177,5.5
2021,2,2021.02.22,영산강,영산강상류,풍영정천2,3.9,2.808,0.138,6
2021,2,2021.02.22,영산강,죽산보(영산강중류),죽산,4.8,7.394,0.082,5.4
2021,2,2021.02.22,영산강,죽산보(영산강중류),광산,4.4,9.629,0.127,5.6
2021,2,2021.02.22,영산강,죽산보(영산강중류),나주,5,10.064,0.143,6.6
2021,2,2021.02.22,영산강,지석천,지석천4,3.8,4.482,0.159,4.7
2021,2,2021.02.22,영산강,황룡강,황룡강5,3.9,2.472,0.097,5.2
2021,2,2021.02.23,영산강,영산강하구언,무안2,1.8,4.397,0.04,3.9
2021,2,2021.02.23,영산강,주암댐,주암댐,0.6,0.668,0.007,2
2021,2,2021.02.24,영산강,탐진강,탐진강5,2.7,2.001,0.107,3.8
2021,2,2021.02.25,영산강,요천,요천3,2.7,5.411,0.037,3.2
2021,3,2021.03.02,영산강,영산강상류,우치,1.9,3.529,0.285,5.5
2021,3,2021.03.02,영산강,영산강상류,광주천2,4,4.676,0.192,7.7
2021,3,2021.03.02,영산강,영산강상류,풍영정천2,3.2,5.085,0.281,7.7
2021,3,2021.03.02,영산강,죽산보(영산강중류),죽산,4.9,8.065,0.13,5.1
2021,3,2021.03.02,영산강,죽산보(영산강중류),평동천,2.8,5.902,0.228,6.4
2021,3,2021.03.02,영산강,죽산보(영산강중류),광산,3.9,4.568,0.288,7.9
2021,3,2021.03.02,영산강,죽산보(영산강중류),나주,4.3,6.501,0.313,5.6
2021,3,2021.03.02,영산강,지석천,지석천4,4,3.868,0.221,4.9
2021,3,2021.03.02,영산강,황룡강,황룡강5,2.1,2.894,0.177,4.7
2021,3,2021.03.03,영산강,고막원천,고막원천4,3.4,5.767,0.388,6.9
2021,3,2021.03.03,영산강,영산강하구언,무안2,2.1,4.317,0.048,4.5
2021,3,2021.03.03,영산강,영산강하류,삼포천2,3.5,6.049,0.175,5.5
2021,3,2021.03.03,영산강,영산강하류,함평,3.3,8.072,0.174,4.9
2021,3,2021.03.03,영산강,영산강하류,함평천3,2.4,9.84,0.304,6.4
2021,3,2021.03.03,영산강,영암천,영암천2,3.4,4.142,0.162,5.5
2021,3,2021.03.03,영산강,주암댐,주암댐,0.7,0.677,0.007,1.9
2021,3,2021.03.03,영산강,죽산보(영산강중류),영산포2,3,7.557,0.197,6.7
2021,3,2021.03.04,영산강,섬진강하류,계산,1.7,2.769,0.066,3.4
2021,3,2021.03.04,영산강,죽산보(영산강중류),문평천,1.7,5.326,0.113,3.5
2021,3,2021.03.04,영산강,죽산보(영산강중류),만봉천,2,4.099,0.152,4.8
2021,3,2021.03.04,영산강,죽산보(영산강중류),장성천2,2.9,6.368,0.327,5.8
2021,3,2021.03.04,영산강,죽산보(영산강중류),영산천,1.6,6.99,0.173,4.1
2021,3,2021.03.04,영산강,탐진강,탐진강4,2,2.186,0.188,4.4
2021,3,2021.03.04,영산강,탐진강,탐진강5,2.1,3.419,0.151,4.8
2021,3,2021.03.05,영산강,섬진강댐,관촌,0.9,2.884,0.011,1.4
2021,3,2021.03.05,영산강,섬진강댐하류,임실,0.8,1.576,0.007,2.2
2021,3,2021.03.05,영산강,오수천,오수천2,1.8,2.858,0.053,3.3
2021,3,2021.03.05,영산강,요천,요천3,2.1,4.064,0.065,3
2021,3,2021.03.05,영산강,주암댐,동복천2,0.9,1.589,0.028,1.8
2021,3,2021.03.08,영산강,영산강상류,우치,2,3.371,0.118,3.4
2021,3,2021.03.08,영산강,영산강상류,광주천2,3.4,4.589,0.109,4.7
2021,3,2021.03.08,영산강,영산강상류,풍영정천2,3.6,3.212,0.131,4.3
2021,3,2021.03.08,영산강,죽산보(영산강중류),죽산,4.7,4.122,0.142,4.3
2021,3,2021.03.08,영산강,죽산보(영산강중류),평동천,3.1,2.93,0.098,3.9
2021,3,2021.03.08,영산강,죽산보(영산강중류),광산,4.9,5.285,0.162,4.5
2021,3,2021.03.08,영산강,죽산보(영산강중류),나주,5.1,5.359,0.201,4.7
2021,3,2021.03.08,영산강,지석천,지석천4,3,3.531,0.138,3.5
2021,3,2021.03.08,영산강,황룡강,황룡강5,3.2,3.241,0.094,4.3
2021,3,2021.03.09,영산강,고막원천,고막원천4,3.4,4.735,0.149,4.1
2021,3,2021.03.09,영산강,영산강하구언,무안2,2.5,4.447,0.054,5.4
2021,3,2021.03.09,영산강,영산강하류,삼포천2,2.9,7.178,0.14,5.2
2021,3,2021.03.09,영산강,영산강하류,함평,3.2,5.507,0.137,4.4
2021,3,2021.03.09,영산강,영산강하류,함평천3,3.6,5.635,0.121,3.9
2021,3,2021.03.09,영산강,영암천,영암천2,3.6,5.546,0.09,4.6
2021,3,2021.03.09,영산강,주암댐,주암댐,0.8,0.676,0.007,2
2021,3,2021.03.09,영산강,죽산보(영산강중류),영산포2,3.4,4.02,0.125,4
2021,3,2021.03.10,영산강,섬진강하류,계산,2.3,2.524,0.046,2.7
2021,3,2021.03.10,영산강,죽산보(영산강중류),문평천,2.1,5.603,0.031,2.5
2021,3,2021.03.10,영산강,죽산보(영산강중류),만봉천,2.7,2.863,0.084,3.8
2021,3,2021.03.10,영산강,죽산보(영산강중류),장성천2,3.8,5.43,0.494,5.4
2021,3,2021.03.10,영산강,죽산보(영산강중류),영산천,1.9,5.937,0.16,3.9
2021,3,2021.03.10,영산강,탐진강,탐진강4,2.1,2.442,0.176,3.8
2021,3,2021.03.10,영산강,탐진강,탐진강5,2.5,3.004,0.145,4.1
2021,3,2021.03.11,영산강,섬진강댐,관촌,0.9,2.184,0.008,1.4
2021,3,2021.03.11,영산강,섬진강댐하류,임실,1.2,1.569,0.009,2.5
2021,3,2021.03.11,영산강,오수천,오수천2,2.4,2.052,0.05,3.1
2021,3,2021.03.11,영산강,요천,요천3,2.4,4.198,0.051,2.7
2021,3,2021.03.11,영산강,주암댐,동복천2,0.9,1.581,0.017,1.4
2021,3,2021.03.15,영산강,영산강상류,우치,4,2.307,0.124,3.6
2021,3,2021.03.15,영산강,영산강상류,광주천2,4,3.04,0.15,3.9
2021,3,2021.03.15,영산강,영산강상류,풍영정천2,2.8,1.828,0.115,3.3
2021,3,2021.03.15,영산강,죽산보(영산강중류),죽산,4.7,4.754,0.099,4.6
2021,3,2021.03.15,영산강,죽산보(영산강중류),평동천,2.2,5.782,0.209,4.7
2021,3,2021.03.15,영산강,죽산보(영산강중류),광산,5.3,4.686,0.185,5
2021,3,2021.03.15,영산강,죽산보(영산강중류),나주,5.7,5.801,0.2,5.2
2021,3,2021.03.15,영산강,지석천,지석천4,3.6,3.127,0.154,4.8
2021,3,2021.03.15,영산강,황룡강,황룡강5,4.5,2.246,0.092,4
2021,3,2021.03.16,영산강,고막원천,고막원천4,4.9,3.418,0.157,5.1
2021,3,2021.03.16,영산강,영산강하구언,무안2,2.3,4.686,0.047,4.7
2021,3,2021.03.16,영산강,영산강하류,삼포천2,4.5,6.9,0.186,6.8
2021,3,2021.03.16,영산강,영산강하류,함평,3.2,4.317,0.09,4.3
2021,3,2021.03.16,영산강,영산강하류,함평천3,2.5,4.501,0.141,4.7
2021,3,2021.03.16,영산강,영암천,영암천2,3,4.538,0.119,5
2021,3,2021.03.16,영산강,주암댐,주암댐,0.4,0.659,0.005,1.9
2021,3,2021.03.16,영산강,죽산보(영산강중류),영산포2,3,4.815,0.103,4.3
2021,3,2021.03.17,영산강,섬진강하류,계산,3,1.967,0.063,3.1
2021,3,2021.03.17,영산강,탐진강,탐진강4,2.5,2.366,0.197,3.5
2021,3,2021.03.17,영산강,탐진강,탐진강5,3.6,2.267,0.14,4.5
2021,3,2021.03.18,영산강,섬진강댐,관촌,0.7,2.073,0.013,1.7
2021,3,2021.03.18,영산강,섬진강댐하류,임실,0.8,1.753,0.014,2.5
2021,3,2021.03.18,영산강,오수천,오수천2,1.7,1.801,0.043,2.8
2021,3,2021.03.18,영산강,요천,요천3,1.6,3.75,0.059,3.1
2021,3,2021.03.18,영산강,주암댐,동복천2,1,1.334,0.026,1.5
2021,3,2021.03.18,영산강,죽산보(영산강중류),문평천,1.8,4.115,0.047,2.5
2021,3,2021.03.18,영산강,죽산보(영산강중류),만봉천,2.1,2.859,0.188,3.9
2021,3,2021.03.18,영산강,죽산보(영산강중류),장성천2,2.7,4.451,0.341,5.1
2021,3,2021.03.18,영산강,죽산보(영산강중류),영산천,1.4,5.799,0.245,4
2021,3,2021.03.22,영산강,영산강상류,우치,5.9,2.12,0.129,4.5
2021,3,2021.03.22,영산강,영산강상류,광주천2,4,2.924,0.098,4
2021,3,2021.03.22,영산강,영산강상류,풍영정천2,3,1.81,0.099,5.4
2021,3,2021.03.22,영산강,죽산보(영산강중류),죽산,3.8,4.844,0.136,4.9
2021,3,2021.03.22,영산강,죽산보(영산강중류),광산,5.1,7.368,0.18,5.5
2021,3,2021.03.22,영산강,죽산보(영산강중류),나주,4.9,5.385,0.14,5.6
2021,3,2021.03.22,영산강,지석천,지석천4,1.5,4.033,0.166,4.3
2021,3,2021.03.22,영산강,황룡강,황룡강5,4.4,1.829,0.091,4.1
2021,3,2021.03.23,영산강,고막원천,고막원천4,5.4,2.995,0.133,4.3
2021,3,2021.03.23,영산강,영산강하구언,무안2,3,4.387,0.038,4.7
2021,3,2021.03.23,영산강,영산강하류,삼포천2,2.7,6.227,0.186,7.2
2021,3,2021.03.23,영산강,영산강하류,함평,2.8,4.876,0.124,6.2
2021,3,2021.03.23,영산강,영산강하류,함평천3,2.7,3.456,0.121,5.2
2021,3,2021.03.23,영산강,영암천,영암천2,3.6,4.702,0.125,4.5
2021,3,2021.03.23,영산강,주암댐,주암댐,0.5,0.671,0.004,2.1
2021,3,2021.03.23,영산강,죽산보(영산강중류),영산포2,3.5,4.743,0.13,4.5
2021,3,2021.03.24,영산강,섬진강하류,계산,2,1.829,0.042,2.5
2021,3,2021.03.24,영산강,죽산보(영산강중류),문평천,1.7,3.76,0.033,2.4
2021,3,2021.03.24,영산강,죽산보(영산강중류),만봉천,1.9,2.57,0.238,3.4
2021,3,2021.03.24,영산강,죽산보(영산강중류),장성천2,2.4,3.514,0.237,4.7
2021,3,2021.03.24,영산강,죽산보(영산강중류),영산천,1.5,5.116,0.175,3.8
2021,3,2021.03.24,영산강,탐진강,탐진강4,2.2,1.998,0.127,3
2021,3,2021.03.24,영산강,탐진강,탐진강5,2.7,1.857,0.097,3.3
2021,3,2021.03.25,영산강,섬진강댐,관촌,0.8,1.851,0.01,1.6
2021,3,2021.03.25,영산강,섬진강댐하류,임실,0.9,1.593,0.008,2.7
2021,3,2021.03.25,영산강,오수천,오수천2,1.4,1.399,0.035,2.3
2021,3,2021.03.25,영산강,요천,요천3,2,3.973,0.044,2.7
2021,3,2021.03.25,영산강,주암댐,동복천2,1.2,1.089,0.019,1.7
2021,3,2021.03.29,영산강,죽산보(영산강중류),평동천,3.1,5.03,0.243,5.7
2021,3,2021.03.29,영산강,영산강상류,우치,2.5,2.829,0.195,4.8
2021,3,2021.03.29,영산강,영산강상류,광주천2,2.7,2.738,0.108,2.8
2021,3,2021.03.29,영산강,영산강상류,풍영정천2,3.9,3.768,0.19,5.5
2021,3,2021.03.29,영산강,죽산보(영산강중류),죽산,4.6,5.058,0.187,5.4
2021,3,2021.03.29,영산강,죽산보(영산강중류),광산,5.2,3.342,0.243,4.7
2021,3,2021.03.29,영산강,죽산보(영산강중류),나주,4.2,2.923,0.179,4.4
2021,3,2021.03.29,영산강,지석천,지석천4,2.3,2.883,0.141,3.8
2021,3,2021.03.29,영산강,황룡강,황룡강5,3.7,2.833,0.145,3.7
2021,3,2021.03.30,영산강,고막원천,고막원천4,3.2,5.117,0.278,6.5
2021,3,2021.03.30,영산강,영산강하구언,무안2,2.6,4.662,0.047,4.4
2021,3,2021.03.30,영산강,영산강하류,삼포천2,4.5,6.918,0.317,9.4
2021,3,2021.03.30,영산강,영산강하류,함평,3.3,5.611,0.173,5.9
2021,3,2021.03.30,영산강,영산강하류,함평천3,3.3,5.563,0.148,5
2021,3,2021.03.30,영산강,영암천,영암천2,4.6,4.452,0.236,6.2
2021,3,2021.03.30,영산강,주암댐,주암댐,0.6,0.552,0.005,2
2021,3,2021.03.30,영산강,죽산보(영산강중류),영산포2,3.5,4.338,0.149,5.5
2021,3,2021.03.31,영산강,섬진강하류,계산,1.9,2.447,0.054,2.9
2021,3,2021.03.31,영산강,죽산보(영산강중류),문평천,1.5,1.897,0.031,2.7
2021,3,2021.03.31,영산강,죽산보(영산강중류),만봉천,1.9,2.132,0.078,3.5
2021,3,2021.03.31,영산강,죽산보(영산강중류),장성천2,2.5,3.385,0.311,4.8
2021,3,2021.03.31,영산강,죽산보(영산강중류),영산천,1.9,4.502,0.163,4.2
2021,3,2021.03.31,영산강,탐진강,탐진강4,2.1,2.084,0.102,3.2
2021,3,2021.03.31,영산강,탐진강,탐진강5,2,2.186,0.091,3.1
2021,4,2021.04.01,영산강,섬진강댐,관촌,0.8,2.043,0.017,1.7
2021,4,2021.04.01,영산강,섬진강댐하류,임실,0.9,1.628,0.01,2.3
2021,4,2021.04.01,영산강,오수천,오수천2,1.6,2.167,0.048,3
2021,4,2021.04.01,영산강,요천,요천3,1.8,3.087,0.046,2.3
2021,4,2021.04.01,영산강,주암댐,동복천2,1,1.395,0.025,1.6
2021,4,2021.04.05,영산강,영산강상류,우치,2.6,2.865,0.164,3
2021,4,2021.04.05,영산강,영산강상류,광주천2,3.3,3.014,0.114,4.8
2021,4,2021.04.05,영산강,영산강상류,풍영정천2,2.3,2.527,0.145,5
2021,4,2021.04.05,영산강,죽산보(영산강중류),죽산,4.1,3.973,0.125,4.1
2021,4,2021.04.05,영산강,죽산보(영산강중류),평동천,2.1,4.629,0.247,5.4
2021,4,2021.04.05,영산강,죽산보(영산강중류),광산,5.9,4.454,0.181,4.4
2021,4,2021.04.05,영산강,죽산보(영산강중류),나주,5.7,4.95,0.153,5.2
2021,4,2021.04.05,영산강,지석천,지석천4,1.3,2,0.086,2.9
