year,month,date,system,central,site,BOD,T_N,T_P,TOC
2021,1,2021.01.04,영산강,영산강상류,우치,2.2,3.086,0.095,3
2021,1,2021.01.04,영산강,영산강하구언,무안2,2.1,2.658,0.039,4.1
2021,1,2021.01.04,영산강,죽산보(영산강중류),죽산,9,8.172,0.136,9.4
2021,1,2021.01.04,영산강,죽산보(영산강중류),광산,5.8,9.644,0.272,7.2
2021,1,2021.01.04,영산강,죽산보(영산강중류),나주,5,8.834,0.33,5.5
2021,1,2021.01.04,영산강,탐진강,탐진강5,3.1,1.985,0.061,3.3
2021,1,2021.01.05,영산강,섬진강댐하류,임실,1,1.316,0.006,2.6
2021,1,2021.01.05,영산강,섬진강하류,계산,1.4,2.381,0.012,2.2
2021,1,2021.01.05,영산강,영산강상류,광주천2,4,7.225,0.095,4.8
2021,1,2021.01.05,영산강,주암댐,주암댐,0.7,0.651,0.006,2
2021,1,2021.01.05,영산강,지석천,지석천4,6.9,5.298,0.126,7.1
2021,1,2021.01.05,영산강,황룡강,황룡강5,7.1,2.382,0.105,7.2
2021,1,2021.01.06,영산강,요천,요천3,0.9,5.32,0.03,3.3
2021,1,2021.01.11,영산강,섬진강댐,관촌,0.9,2.595,0.008,1.1
2021,1,2021.01.11,영산강,주암댐,동복천2,0.5,0.951,0.014,1.5
2021,1,2021.01.19,영산강,고막원천,고막원천4,4,3.851,0.136,4.2
2021,1,2021.01.19,영산강,탐진강,탐진강4,2,2.676,0.147,2.4
2021,1,2021.01.20,영산강,영산강상류,풍영정천2,3.4,3.954,0.185,5.6
2021,1,2021.01.20,영산강,오수천,오수천2,0.9,2.459,0.014,1.8
2021,1,2021.01.21,영산강,영산강하류,함평,4.3,7.306,0.101,6
2021,1,2021.01.21,영산강,죽산보(영산강중류),영산포2,5.3,8.386,0.138,7.3
2021,1,2021.01.25,영산강,죽산보(영산강중류),평동천,3,4.65,0.196,4.3
2021,1,2021.01.26,영산강,영산강하류,삼포천2,3.7,5.419,0.157,4.2
2021,1,2021.01.26,영산강,영산강하류,함평천3,3.1,5.615,0.203,4.7
2021,1,2021.01.26,영산강,영암천,영암천2,3.8,3.322,0.058,4.4
2021,1,2021.01.27,영산강,죽산보(영산강중류),문평천,1.4,3.327,0.028,1.8
2021,1,2021.01.27,영산강,죽산보(영산강중류),만봉천,3.1,3.022,0.177,3.4
2021,1,2021.01.27,영산강,죽산보(영산강중류),장성천2,2.8,4.658,0.323,3.9
2021,1,2021.01.27,영산강,죽산보(영산강중류),영산천,2.3,5.768,0.159,3.9
2021,1,2021.01.11,영산강,섬진강댐하류,임실,0.5,1.327,0.008,2.5
2021,1,2021.01.11,영산강,섬진강하류,계산,0.5,2.508,0.014,1.9
2021,1,2021.01.11,영산강,주암댐,주암댐,0.9,0.665,0.009,1.7
2021,1,2021.01.13,영산강,영산강상류,우치,2,3.799,0.094,2.2
2021,1,2021.01.13,영산강,영산강상류,광주천2,3.3,8.273,0.08,3.4
2021,1,2021.01.13,영산강,영산강하구언,무안2,2,3.159,0.036,3.6
2021,1,2021.01.13,영산강,지석천,지석천4,2.6,5.152,0.138,2.9
2021,1,2021.01.13,영산강,탐진강,탐진강5,2,2.2,0.074,2.4
2021,1,2021.01.13,영산강,황룡강,황룡강5,3,2.653,0.111,3.1
2021,1,2021.01.14,영산강,죽산보(영산강중류),죽산,4.3,7.298,0.074,4.6
2021,1,2021.01.14,영산강,죽산보(영산강중류),광산,4.7,10.516,0.12,5.1
2021,1,2021.01.14,영산강,죽산보(영산강중류),나주,4.8,9.573,0.145,5.1
2021,1,2021.01.15,영산강,요천,요천3,1.8,6.914,0.035,2.5
2021,1,2021.01.20,영산강,섬진강댐,관촌,1,2.357,0.005,1.5
2021,1,2021.01.20,영산강,주암댐,동복천2,0.7,1.078,0.029,1.6
2021,1,2021.01.25,영산강,영산강상류,풍영정천2,4.4,3.319,0.14,5.2
2021,1,2021.01.26,영산강,고막원천,고막원천4,5.8,4.095,0.178,6
2021,1,2021.01.26,영산강,영산강하류,함평,3.7,6.615,0.114,5.1
2021,1,2021.01.26,영산강,죽산보(영산강중류),영산포2,4,7.459,0.099,4.8
2021,1,2021.01.27,영산강,탐진강,탐진강4,2.1,2.227,0.136,2.9
2021,1,2021.01.28,영산강,오수천,오수천2,1.5,2.569,0.099,3.7
2021,1,2021.01.19,영산강,영산강상류,우치,1.4,3.21,0.093,1.9
2021,1,2021.01.19,영산강,영산강하구언,무안2,1.9,2.891,0.022,2.8
2021,1,2021.01.19,영산강,죽산보(영산강중류),죽산,4.7,8.863,0.165,4.8
2021,1,2021.01.19,영산강,죽산보(영산강중류),광산,3.9,10.447,0.218,4
2021,1,2021.01.19,영산강,죽산보(영산강중류),나주,5.3,10.037,0.264,7.1
2021,1,2021.01.19,영산강,탐진강,탐진강5,1.4,1.902,0.099,2
2021,1,2021.01.20,영산강,섬진강댐하류,임실,0.7,1.282,0.003,2.9
2021,1,2021.01.20,영산강,영산강상류,광주천2,4.4,7.937,0.135,4.8
2021,1,2021.01.20,영산강,요천,요천3,1.3,5.766,0.027,2.8
2021,1,2021.01.20,영산강,주암댐,주암댐,0.8,0.626,0.006,1.8
2021,1,2021.01.20,영산강,지석천,지석천4,3.7,5.874,0.157,3.9
2021,1,2021.01.20,영산강,황룡강,황룡강5,3.4,2.388,0.1,3.6
2021,1,2021.01.21,영산강,섬진강하류,계산,1,2.284,0.011,2
2021,1,2021.01.28,영산강,섬진강댐,관촌,0.9,2.371,0.005,1.4
2021,1,2021.01.28,영산강,주암댐,동복천2,0.9,1.13,0.017,1.4
2021,1,2021.01.25,영산강,영산강상류,우치,2.1,3.291,0.104,3
2021,1,2021.01.25,영산강,영산강상류,광주천2,3.9,7.212,0.127,4.5
2021,1,2021.01.25,영산강,죽산보(영산강중류),죽산,5.1,8.056,0.135,5.2
2021,1,2021.01.25,영산강,죽산보(영산강중류),광산,4.6,8.09,0.305,5.6
2021,1,2021.01.25,영산강,죽산보(영산강중류),나주,4.7,8.85,0.201,5.1
2021,1,2021.01.25,영산강,지석천,지석천4,4,4.338,0.145,4.4
2021,1,2021.01.25,영산강,황룡강,황룡강5,3.7,2.871,0.107,4.7
2021,1,2021.01.26,영산강,영산강하구언,무안2,2.2,3.186,0.038,3.7
2021,1,2021.01.26,영산강,주암댐,주암댐,1,0.627,0.008,1.6
2021,1,2021.01.27,영산강,섬진강하류,계산,1.4,2.005,0.024,2.1
2021,1,2021.01.27,영산강,탐진강,탐진강5,2.4,1.997,0.099,2.8
2021,1,2021.01.28,영산강,섬진강댐하류,임실,1,1.216,0.003,2.1
2021,1,2021.01.28,영산강,요천,요천3,2,4.563,0.029,2.5
2021,2,2021.02.01,영산강,영산강상류,우치,2,2.959,0.117,3.3
2021,2,2021.02.01,영산강,영산강상류,광주천2,6.4,7.646,0.327,9.3
2021,2,2021.02.01,영산강,영산강상류,풍영정천2,5.8,3.144,0.23,8.9
2021,2,2021.02.01,영산강,죽산보(영산강중류),죽산,5.7,7.885,0.191,5.8
2021,2,2021.02.01,영산강,죽산보(영산강중류),평동천,4,4.563,0.306,7.6
2021,2,2021.02.01,영산강,죽산보(영산강중류),광산,4.8,9.422,0.15,5.3
2021,2,2021.02.01,영산강,죽산보(영산강중류),나주,5.9,7.638,0.261,7
2021,2,2021.02.01,영산강,지석천,지석천4,4.1,4.297,0.203,4.2
2021,2,2021.02.01,영산강,황룡강,황룡강5,3.8,3.321,0.213,8
2021,2,2021.02.02,영산강,고막원천,고막원천4,5.8,5.128,0.233,5.8
2021,2,2021.02.02,영산강,영산강하구언,무안2,2,3.727,0.072,3.9
2021,2,2021.02.02,영산강,영산강하류,함평,4.7,7.706,0.175,5.8
